UserID,MonthlyIncome,SavingsRate,HousingExpenses,DiningExpenses,InvestmentAmount,FinancialHealthScore
1000001,11651,7.39,2839.71,1005.82,689.27,39
1000002,6695,13.54,2107.92,1315.0,725.35,35
1000003,8215,3.74,1864.26,539.18,245.72,27
1000004,5776,34.23,1071.82,1081.08,1581.9,50
1000005,4398,26.84,884.87,824.58,944.25,44
1000006,11564,38.49,5102.46,816.84,3560.56,39
1000007,2769,53.44,535.07,299.36,1183.8,66
1000008,9808,10.43,1661.82,1417.96,818.34,33
1000009,14121,44.65,4739.15,1764.29,5043.67,64
1000010,5629,31.17,1403.82,790.19,1403.77,51
1000011,14840,32.25,4355.87,1140.87,3828.6,44
1000012,7993,54.33,1454.39,1085.68,3474.35,81
1000013,4396,32.44,1740.0,222.65,1140.95,49
1000014,10411,24.2,3583.92,1917.08,2015.29,35
1000015,5364,19.1,1984.08,984.55,819.76,37
1000016,8844,48.43,1696.11,1072.27,3426.3,68
1000017,6589,17.77,1123.33,1266.64,936.72,36
1000018,12735,19.87,2050.16,749.03,2024.17,57
1000019,8442,40.18,2507.32,1583.96,2713.64,44
1000020,2228,49.94,442.48,220.81,890.13,62
1000021,12738,26.18,2833.47,1194.95,2667.56,46
1000022,9454,27.84,1762.03,1581.44,2105.94,49
1000023,7353,15.43,2813.18,1077.27,907.5,26
1000024,8488,35.5,1521.5,958.77,2410.79,60
1000025,4930,60.34,1976.54,619.86,2379.95,63
1000026,10606,58.19,3621.65,818.91,4937.5,64
1000027,3948,41.26,1455.04,536.0,1303.03,53
1000028,12484,33.25,4239.22,1593.94,3320.77,43
1000029,2205,60.34,495.3,263.77,1064.44,68
1000030,10914,41.74,1946.58,694.03,3644.47,64
1000031,12908,34.68,2101.38,1899.57,3581.48,52
1000032,11429,42.82,2859.65,1076.72,3915.3,55
1000033,13997,25.39,6207.17,2145.69,2842.9,36
1000034,4186,51.71,908.01,523.26,1731.62,66
1000035,8046,17.68,2081.63,1396.81,1137.99,45
1000036,9694,23.45,2099.49,1764.4,1818.61,37
1000037,12045,22.34,3029.27,2393.91,2152.53,35
1000038,13845,48.16,4431.0,2320.81,5334.27,51
1000039,2011,35.04,409.76,341.82,563.69,56
1000040,5915,11.05,1922.99,805.26,522.66,28
1000041,6373,6.99,2215.95,1055.61,356.2,12
1000042,8426,62.59,1824.34,640.11,4218.83,73
1000043,6196,21.58,1465.46,1137.61,1069.67,41
1000044,3031,18.07,502.44,175.75,438.28,37
1000045,6240,52.52,1146.84,1023.82,2622.0,67
1000046,5316,28.15,2152.09,923.59,1196.96,41
1000047,2855,21.25,489.61,545.5,485.43,41
1000048,12588,,3616.28,1434.04,5734.91,65
1000049,7499,50.48,2078.33,490.87,3028.55,64
1000050,8656,20.97,1479.64,1522.0,1451.86,41
1000051,12398,28.39,4932.29,1579.17,2815.43,42
1000052,11837,27.78,4864.44,2032.31,2630.68,33
1000053,2914,59.29,1006.44,198.62,1382.18,69
1000054,3281,22.59,1102.71,383.33,592.98,39
1000055,5595,55.59,2045.44,488.65,2488.33,61
1000056,2686,63.03,585.03,278.18,1354.43,69
1000057,13163,38.43,3205.43,1505.24,4047.27,57
1000058,2335,40.01,485.27,147.32,747.36,65
1000059,10337,48.27,1651.88,1190.62,3991.95,60
1000060,5013,10.48,1254.41,809.25,420.47,36
1000061,3206,13.65,699.32,271.67,350.01,44
1000062,2541,33.78,961.38,137.76,686.69,43
1000063,2779,8.57,617.22,490.79,190.47,32
1000064,3036,2.07,1267.91,273.91,50.19,17
1000065,4171,34.08,1350.73,828.03,1137.25,46
1000066,10631,32.39,2838.48,555.01,2754.77,59
1000067,6696,44.85,1903.74,928.3,2402.45,58
1000068,11672,51.2,2493.33,1288.41,4780.96,57
1000069,11618,17.23,4346.97,1646.91,1601.48,26
1000070,2002,14.64,813.54,117.45,234.54,26
1000071,13085,15.89,3385.51,2224.2,1663.75,34
1000072,13963,6.47,3548.28,2770.81,722.85,24
1000073,12793,33.74,3260.92,1797.37,3453.18,57
1000074,12886,43.38,3962.37,1175.13,4471.55,52
1000075,11354,63.94,3888.08,1897.22,5808.18,67
1000076,5747,42.19,1651.08,827.43,1939.86,50
1000077,2437,3.5,704.88,388.63,68.2,30
1000078,6143,22.24,1636.32,510.59,1092.85,36
1000079,10724,3.77,3040.72,1993.42,323.48,24
1000080,14481,26.99,5387.15,1034.04,3126.74,42
1000081,4528,4.47,706.08,744.52,162.05,32
1000082,8553,40.15,1949.78,1191.22,2746.97,57
