ListenID,AudioLengthMinutes,SpeakerPitchAvg,AdCount,DropoffTimeMinutes,Completed
1620001,128.1,72.1,109.0,6.3,90.6
1620002,80.3,99.8,146.8,,79.1
1620003,109.2,66.3,92.2,14.7,143.0
1620004,118.0,93.1,131.8,,94.1
1620005,102.4,70.7,115.8,2.1,141.5
1620006,101.7,89.7,77.5,2.0,141.7
1620007,76.7,88.7,58.8,9.9,125.7
1620008,126.1,59.3,66.4,5.2,93.7
1620009,123.8,115.4,115.3,3.2,111.1
1620010,74.8,133.3,84.6,25.7,86.4
1620011,128.3,48.7,138.8,12.6,89.0
1620012,70.6,85.1,85.0,5.0,108.7
1620013,100.9,104.5,108.3,16.6,123.3
1620014,82.6,61.1,88.9,12.9,146.3
1620015,123.8,79.5,99.4,7.8,112.5
1620016,92.0,60.7,66.8,4.6,103.0
1620017,129.1,71.3,102.0,35.3,116.3
1620018,157.2,61.5,98.1,2.4,94.2
1620019,100.7,95.5,103.1,9.2,114.2
1620020,121.0,103.2,100.8,2.6,100.1
1620021,110.4,98.4,60.5,8.5,160.5
1620022,62.6,138.4,80.1,24.6,125.9
1620023,87.4,83.9,92.4,21.8,104.0
1620024,147.7,94.8,118.1,11.8,97.2
1620025,113.9,108.1,69.8,7.1,100.6
1620026,64.4,105.9,89.1,18.4,97.5
1620027,28.5,62.0,68.9,18.8,87.6
1620028,94.8,108.1,72.3,4.5,115.3
1620029,63.8,103.1,106.9,4.4,101.2
1620030,66.4,122.6,124.2,13.7,106.4
1620031,139.2,92.7,120.1,3.7,75.5
1620032,51.0,86.0,65.0,11.5,106.1
1620033,109.0,94.5,131.7,4.7,109.3
1620034,118.3,81.1,126.7,25.1,90.9
1620035,79.9,82.1,112.7,18.2,80.9
1620036,89.8,65.6,126.3,12.9,145.3
1620037,116.3,151.4,65.6,13.5,106.4
1620038,84.5,112.4,97.4,15.8,147.2
1620039,91.8,114.2,89.5,55.8,78.5
1620040,102.4,113.4,108.0,7.2,83.4
1620041,147.0,91.0,131.9,9.6,153.1
1620042,110.9,137.1,144.9,9.0,100.4
1620043,50.0,78.8,137.2,18.8,100.7
1620044,101.0,119.1,73.9,9.2,59.3
1620045,76.9,141.7,83.8,1.0,112.7
1620046,61.9,88.9,112.7,,141.2
1620047,75.3,126.6,91.6,,129.6
1620048,88.8,107.8,117.0,5.6,128.2
1620049,140.9,60.4,80.5,1.6,82.3
1620050,66.6,159.6,81.1,2.7,72.4
1620051,108.1,111.5,136.0,2.4,85.2
1620052,97.0,90.7,126.3,22.2,66.1
1620053,133.7,79.6,131.6,85.4,81.3
1620054,104.8,70.7,101.0,4.4,96.5
1620055,64.5,68.5,100.1,3.3,98.6
1620056,152.5,116.4,78.9,6.2,90.4
1620057,73.3,107.1,123.9,11.5,104.4
1620058,139.7,78.7,88.5,1.5,91.4
1620059,101.2,88.2,88.1,7.9,99.7
1620060,105.1,94.2,115.6,16.1,90.9
1620061,68.9,113.0,99.7,13.3,91.6
1620062,70.9,89.6,114.2,5.5,92.5
1620063,113.1,106.9,127.6,4.2,124.9
1620064,99.2,102.2,153.6,24.0,102.0
1620065,133.4,51.7,86.3,5.7,126.0
1620066,101.5,121.6,67.8,2.7,100.5
1620067,43.8,81.8,95.9,65.6,78.9
1620068,102.2,108.1,130.9,7.8,70.5
1620069,92.1,69.3,111.4,19.6,140.0
1620070,110.0,85.0,133.1,3.0,117.5
1620071,116.0,113.0,58.6,16.3,104.0
1620072,143.8,90.2,79.3,12.4,94.2
1620073,129.3,81.6,90.2,24.9,78.5
1620074,114.6,96.5,87.3,16.1,113.2
1620075,92.7,60.3,17.3,6.2,57.4
1620076,99.9,96.7,98.8,5.3,85.2
1620077,132.0,93.0,134.6,17.3,123.2
1620078,68.0,61.1,126.5,2.7,121.0
1620079,93.9,99.4,76.7,20.3,83.5
1620080,115.7,128.8,74.2,4.7,109.2
1620081,79.8,87.3,125.5,1.4,103.0
1620082,83.7,62.1,80.0,53.9,81.7
1620083,155.5,111.7,73.4,5.4,141.3
1620084,50.8,88.0,66.3,5.0,142.0
1620085,88.5,69.5,87.0,,97.7
1620086,106.5,107.7,116.2,8.4,117.3
1620087,109.1,107.0,114.0,9.9,73.3
1620088,129.5,113.2,91.2,9.6,69.6
1620089,107.6,89.5,82.3,11.2,129.7
1620090,82.4,111.4,100.0,28.6,92.6
1620091,87.4,118.8,81.8,13.7,130.9
1620092,130.2,89.4,86.8,2.1,133.9
1620093,83.3,118.3,108.4,5.2,128.8
1620094,105.3,86.9,112.2,6.8,123.0
1620095,61.3,131.6,119.3,1.0,89.6
1620096,76.0,129.9,79.5,26.7,87.0
1620097,98.8,100.3,127.3,37.5,162.3
1620098,127.7,147.4,104.3,3.7,103.9
1620099,85.1,107.3,108.9,2.4,179.9
1620100,118.7,84.7,99.1,10.0,82.7
1620101,113.6,116.1,120.5,13.5,120.9
1620102,130.3,58.1,112.3,15.3,82.6
1620103,114.9,110.1,95.5,14.5,106.5
1620104,101.4,76.0,86.8,12.0,73.0
1620105,106.0,82.2,88.8,1.0,65.1
1620106,91.9,110.5,121.8,18.8,103.1
1620107,113.8,128.5,100.5,10.6,89.0
1620108,111.1,117.4,130.2,23.9,78.2
1620109,122.4,66.8,66.7,9.1,64.8
1620110,83.8,116.9,133.3,2.0,97.9
1620111,120.4,70.4,109.8,10.4,104.4
1620112,69.4,117.6,123.0,12.6,35.8
1620113,107.8,93.8,109.2,27.3,112.4
1620114,99.9,151.2,61.6,31.3,128.8
1620115,92.4,100.9,96.3,8.3,99.8
1620116,94.9,100.8,127.7,4.1,126.8
1620117,104.4,137.2,121.2,9.0,75.9
1620118,128.6,130.3,83.3,6.2,95.5
1620119,90.5,149.5,64.5,21.8,99.5
1620120,93.9,66.2,111.4,8.0,105.0
1620121,68.7,73.8,79.5,6.0,65.1
1620122,133.2,133.0,100.4,22.4,97.3
1620123,101.9,129.1,102.3,25.4,151.1
1620124,83.2,125.7,92.1,8.7,128.9
1620125,78.5,99.1,127.4,16.4,117.1
1620126,79.7,117.3,101.4,31.8,94.6
1620127,104.4,91.8,128.4,1.0,100.2
1620128,117.8,127.3,63.7,15.0,136.0
1620129,92.7,47.4,135.1,36.2,91.4
1620130,68.1,87.3,103.7,3.1,101.8
1620131,111.5,91.4,95.4,22.7,131.6
1620132,70.5,128.9,126.0,13.3,162.9
1620133,123.0,111.2,129.0,1.0,140.4
1620134,153.1,101.1,102.7,10.7,80.4
1620135,104.2,93.2,125.0,7.6,110.1
