VesselID,ContainerQty,CraneAvailabilityRate,PortWaitTime_Hours,WindSpeed_Knots,HighCongestion
1330001,74.3,61.1,19.0,12.0,1
1330002,94.4,56.4,11.6,6.6,1
1330003,140.9,65.3,52.4,11.7,1
1330004,89.6,46.7,39.3,13.3,0
1330005,84.1,35.4,30.2,11.7,1
1330006,75.0,26.9,32.5,8.8,0
1330007,123.3,75.4,8.7,14.3,0
1330008,103.4,60.8,14.0,13.7,0
1330009,114.3,49.7,6.1,3.1,1
1330010,95.8,54.8,7.8,9.3,0
1330011,126.9,43.9,6.0,8.5,0
1330012,81.8,40.4,19.8,16.3,1
1330013,110.9,44.4,1.0,6.2,0
1330014,105.0,37.4,15.1,19.3,0
1330015,95.9,44.9,16.3,15.2,0
1330016,74.5,55.3,7.3,8.6,0
1330017,45.1,50.3,1.0,12.5,0
1330018,47.1,53.0,12.1,8.9,1
1330019,182.2,61.2,9.3,7.2,0
1330020,90.7,52.6,3.2,8.0,1
1330021,73.3,42.1,16.2,7.8,0
1330022,90.3,46.2,4.5,11.0,0
1330023,103.5,7.9,3.1,12.8,0
1330024,98.9,56.7,16.4,11.7,0
1330025,121.3,54.5,13.6,15.5,1
1330026,109.7,65.5,11.7,10.9,0
1330027,109.6,26.3,10.1,9.5,0
1330028,73.1,62.4,44.4,20.1,1
1330029,132.4,,15.4,10.9,1
1330030,77.6,81.3,2.3,11.7,1
1330031,104.5,44.8,17.0,7.2,0
1330032,131.1,31.0,1.6,8.2,0
1330033,64.2,64.5,25.6,8.2,1
1330034,106.0,66.5,1.0,15.5,0
1330035,136.1,33.4,8.5,13.0,0
1330036,79.9,43.8,2.5,9.6,0
1330037,57.1,32.3,3.2,3.3,1
1330038,74.0,43.8,10.9,14.6,1
1330039,109.2,37.4,2.4,9.3,1
1330040,41.3,31.8,1.0,13.5,0
1330041,122.9,38.5,7.0,15.3,0
1330042,108.3,38.3,15.3,8.6,0
1330043,50.4,36.9,3.8,4.8,0
1330044,88.3,55.9,1.0,10.4,0
1330045,103.7,33.3,36.9,9.0,1
1330046,75.7,34.9,1.8,16.0,0
1330047,106.2,36.9,13.5,10.8,0
1330048,106.8,65.3,14.6,16.3,1
1330049,78.2,41.1,2.5,8.1,0
1330050,91.1,21.9,22.5,16.0,1
1330051,66.5,42.9,19.8,16.5,1
1330052,121.0,62.8,1.0,15.2,0
1330053,111.7,19.2,2.6,8.9,0
1330054,126.1,21.6,22.5,13.9,1
1330055,72.0,50.0,29.7,13.5,1
1330056,91.2,30.9,8.6,15.8,0
1330057,70.9,48.0,3.8,16.5,0
1330058,74.6,26.8,24.9,15.5,1
1330059,101.8,55.2,21.9,17.6,1
1330060,78.0,33.6,9.1,7.0,0
1330061,110.9,30.0,1.3,6.6,0
1330062,93.2,52.9,35.7,15.1,1
1330063,113.0,42.7,33.6,11.2,1
1330064,112.4,43.1,6.3,10.4,0
1330065,77.5,44.3,2.7,5.6,0
1330066,99.3,79.5,18.2,18.3,0
1330067,85.3,58.3,6.0,16.8,1
1330068,105.5,34.4,1.0,9.8,1
1330069,131.7,34.9,13.7,7.7,0
1330070,126.4,44.5,8.4,13.8,0
1330071,83.4,52.0,8.6,10.2,1
1330072,131.3,63.2,13.6,17.5,0
1330073,106.6,51.8,4.7,10.2,0
1330074,141.0,42.1,1.8,24.2,0
1330075,76.2,50.0,17.6,16.9,1
1330076,103.9,,5.1,9.4,0
1330077,93.6,41.3,19.2,14.7,0
1330078,38.5,53.6,34.5,13.8,1
1330079,90.3,9.1,5.2,11.0,0
1330080,145.9,59.8,19.3,13.4,0
1330081,125.7,48.7,16.3,15.6,1
1330082,77.3,43.3,13.2,11.8,1
1330083,107.5,14.1,30.1,7.7,0
1330084,106.2,41.6,16.6,14.6,1
1330085,99.1,27.2,2.0,9.4,0
1330086,70.8,56.7,11.4,8.4,0
1330087,111.4,45.9,12.6,11.0,1
1330088,119.2,51.9,7.5,7.5,1
1330089,109.3,52.6,1.0,21.4,0
1330090,73.2,48.4,12.8,5.3,1
1330091,84.1,35.6,16.5,12.6,0
1330092,113.6,40.6,28.8,6.7,0
1330093,81.4,55.8,13.6,8.1,0
1330094,116.1,67.9,1.0,14.9,0
1330095,157.0,31.3,11.0,3.7,1
1330096,97.9,23.7,1.8,12.5,0
1330097,105.9,35.3,6.7,14.6,0
1330098,139.3,41.6,10.9,13.0,0
1330099,121.6,59.1,19.6,13.5,1
1330100,115.7,43.5,13.4,13.3,1
1330101,125.3,55.1,19.3,2.9,0
1330102,94.8,52.4,9.3,18.0,0
1330103,58.0,33.5,2.9,4.2,0
1330104,109.5,60.0,18.6,4.5,0
1330105,110.1,58.2,10.5,5.4,0
1330106,37.5,40.4,7.2,12.5,1
1330107,95.2,62.2,1.0,12.3,1
1330108,109.8,61.5,16.9,13.3,0
1330109,109.9,44.5,24.3,15.6,1
1330110,92.3,61.8,10.0,15.0,0
1330111,93.7,40.0,1.7,12.3,0
1330112,120.6,34.4,26.8,8.6,1
1330113,108.7,59.1,17.0,5.5,1
1330114,79.9,48.5,28.9,14.9,1
1330115,116.9,40.5,3.0,10.3,1
1330116,80.0,31.9,35.8,11.6,1
1330117,81.9,31.7,14.3,9.8,1
1330118,63.6,48.1,13.0,9.4,0
1330119,79.4,42.3,10.7,15.9,0
1330120,123.0,48.8,18.3,5.4,1
1330121,126.6,30.9,25.8,9.1,0
1330122,81.4,36.5,36.3,12.1,1
1330123,91.4,35.5,14.6,13.5,1
1330124,94.1,41.3,17.4,13.1,0
1330125,104.8,38.7,3.8,15.6,0
1330126,114.8,50.5,2.9,7.4,1
1330127,105.7,18.9,21.3,7.8,1
1330128,113.7,31.4,19.1,15.9,0
1330129,88.2,30.7,15.0,19.9,1
1330130,109.7,63.3,6.6,26.1,1
1330131,118.8,23.6,12.2,5.5,1
1330132,81.3,23.6,8.2,11.2,0
1330133,127.3,52.6,11.6,16.7,1
1330134,101.7,26.3,3.3,13.4,1
1330135,92.6,54.8,9.4,11.4,1
1330136,108.2,49.2,18.7,19.5,1
1330137,126.4,45.8,76.3,3.3,0
1330138,67.7,42.2,12.8,14.1,1
1330139,118.0,37.6,11.9,6.5,1
1330140,83.4,40.2,8.2,12.9,1
1330141,102.5,50.9,18.2,13.2,0
1330142,109.6,85.0,5.8,16.0,1
1330143,77.5,83.9,2.1,14.1,1
1330144,103.7,40.2,34.7,9.3,0
1330145,105.5,65.4,19.4,8.8,0
1330146,103.6,71.0,16.8,18.8,1
1330147,120.0,63.5,6.7,6.8,0
1330148,106.1,38.6,15.6,15.9,1
1330149,133.9,15.2,17.0,3.2,0
1330150,89.8,22.4,4.4,7.8,0
1330151,115.0,24.4,12.0,13.8,0
1330152,105.1,67.2,1.0,10.9,1
1330153,75.5,67.6,16.0,9.4,0
1330154,71.9,74.6,1.0,22.6,0
1330155,68.7,34.0,1.4,16.3,0
1330156,108.5,65.2,19.3,13.7,1
1330157,73.8,44.0,19.1,13.1,0
1330158,94.8,58.9,3.3,18.1,0
1330159,104.0,65.8,6.1,7.5,0
1330160,70.7,50.2,23.4,6.0,1
1330161,113.7,28.1,1.0,14.3,1
1330162,126.4,52.6,9.3,11.7,1
1330163,125.9,82.4,1.0,11.0,1
1330164,96.6,29.4,27.7,4.9,1
1330165,96.8,49.4,15.3,12.5,1
1330166,105.1,38.5,3.4,14.8,0
1330167,115.3,72.3,32.8,15.6,1
1330168,118.6,26.6,2.1,20.8,0
1330169,51.5,55.9,36.6,19.9,1
1330170,80.1,29.0,34.9,8.4,1
1330171,155.6,72.3,1.0,24.0,1
1330172,80.0,60.2,3.3,8.2,0
1330173,94.1,47.7,13.1,6.6,0
1330174,62.9,46.7,2.6,12.4,1
1330175,114.8,30.7,27.9,9.1,1
1330176,151.2,49.3,10.2,20.0,0
1330177,113.1,34.0,8.4,1.7,0
1330178,138.2,34.9,9.0,7.9,0
1330179,119.1,56.4,1.0,14.4,1
1330180,92.9,68.6,1.2,18.8,1
1330181,92.3,37.4,4.9,16.4,0
1330182,72.7,42.9,5.1,12.6,1
1330183,82.8,74.3,6.9,21.3,0
1330184,129.2,34.3,19.8,12.3,0
1330185,108.8,77.0,4.1,17.8,0
1330186,112.2,55.1,1.7,15.2,0
1330187,69.2,39.2,2.9,10.3,0
1330188,95.1,33.2,1.0,16.3,0
1330189,120.9,63.6,5.8,4.2,0
1330190,43.2,54.7,8.0,9.2,0
1330191,116.4,63.4,30.8,14.9,0
1330192,123.9,58.9,9.9,9.5,0
1330193,105.5,66.0,6.5,10.6,0
1330194,150.8,14.6,5.2,19.8,0
1330195,115.5,61.7,18.2,9.4,1
1330196,142.7,38.8,27.4,6.6,0
1330197,114.8,21.1,4.1,13.5,1
1330198,82.7,48.1,6.3,6.8,0
1330199,81.4,39.7,48.4,5.6,1
1330200,116.0,40.2,1.0,15.6,0
1330201,104.4,41.6,7.4,9.0,1
1330202,126.4,81.7,5.6,16.3,0
1330203,102.7,20.3,4.7,6.8,0
1330204,94.1,34.2,4.1,16.0,0
1330205,114.5,13.0,17.3,22.4,1
1330206,139.5,59.8,11.8,12.0,0
1330207,98.6,48.4,9.4,13.2,1
1330208,130.5,50.6,2.5,10.8,1
1330209,109.5,51.8,44.4,11.8,1
1330210,81.8,49.3,24.5,17.1,0
1330211,119.5,48.1,15.4,14.6,1
1330212,160.6,29.0,11.3,16.5,1
