TableID,MenuPrice,MeatItemsRatio_Percent,TotalCustomerCount,FoodWasteWeight_g,WasteLevel
1970001,70918.0,51.9,74.7,96.0,Type_B
1970002,72647.0,59.5,135.3,64.2,Type_C
1970003,48717.0,62.8,74.8,112.1,Type_A
1970004,82198.0,48.5,78.2,98.3,Type_A
1970005,81262.0,21.2,102.5,110.3,Type_A
1970006,83794.0,53.1,82.3,78.9,Type_C
1970007,76009.0,17.5,61.9,118.9,Type_A
1970008,35445.0,47.7,97.1,72.0,Type_A
1970009,89699.0,48.3,150.8,144.6,Type_C
1970010,54910.0,24.3,93.9,89.6,Type_C
1970011,67521.0,36.6,102.9,114.8,Type_B
1970012,42006.0,26.7,123.3,79.7,Type_A
1970013,78021.0,45.5,148.0,126.5,Type_B
1970014,47235.0,56.3,79.6,117.0,Type_A
1970015,99242.0,55.6,64.8,,Type_C
1970016,112092.0,53.6,101.7,80.3,Type_B
1970017,102825.0,41.7,87.9,134.8,Type_C
1970018,72684.0,36.0,89.4,95.8,Type_A
1970019,63601.0,45.0,103.4,136.6,Type_C
1970020,79915.0,50.9,105.3,79.0,Type_A
1970021,69142.0,24.9,73.4,,Type_B
1970022,55041.0,37.8,99.6,166.6,Type_A
1970023,35750.0,41.9,120.5,98.1,Type_B
1970024,85004.0,58.7,84.5,98.1,Type_B
1970025,54511.0,52.3,103.6,97.2,Type_C
1970026,74092.0,60.8,72.5,121.6,Type_B
1970027,73911.0,22.0,152.8,97.5,Type_B
1970028,51595.0,44.7,64.4,108.2,Type_A
1970029,92500.0,60.3,89.3,124.2,Type_A
1970030,58018.0,37.6,89.0,74.4,Type_B
1970031,71461.0,50.2,74.2,126.0,Type_B
1970032,84991.0,52.0,94.0,67.3,Type_A
1970033,66748.0,51.5,125.3,,Type_B
1970034,41817.0,43.5,101.8,114.1,Type_A
1970035,44605.0,47.4,113.7,83.4,Type_A
1970036,88370.0,31.2,87.3,86.5,Type_A
1970037,72286.0,19.0,36.0,56.0,Type_B
1970038,75187.0,56.3,90.0,85.5,Type_A
1970039,32902.0,50.3,91.9,109.6,Type_B
1970040,56641.0,22.4,97.5,100.1,Type_A
1970041,103258.0,48.9,113.6,120.1,Type_B
1970042,72684.0,45.5,99.3,96.6,Type_B
1970043,107782.0,40.7,121.4,123.4,Type_A
1970044,60690.0,49.5,102.0,73.1,Type_A
1970045,53093.0,62.1,136.1,64.3,Type_A
1970046,39291.0,40.4,116.1,130.5,Type_C
1970047,54122.0,45.3,86.8,99.4,Type_A
1970048,56524.0,47.7,118.0,81.8,Type_C
1970049,83727.0,81.3,100.4,91.3,Type_A
1970050,52988.0,54.4,125.4,82.4,Type_B
1970051,17574.0,52.8,118.6,79.7,Type_B
1970052,75897.0,62.2,105.6,,Type_C
1970053,76341.0,45.7,71.2,72.4,Type_B
1970054,72338.0,36.9,135.4,80.9,Type_A
1970055,58202.0,25.2,89.2,158.5,Type_B
1970056,83062.0,69.8,112.6,126.2,Type_A
1970057,79219.0,43.0,90.0,105.2,Type_A
1970058,98812.0,34.0,97.1,108.4,Type_B
1970059,47341.0,41.0,54.8,104.4,Type_B
1970060,45093.0,26.2,37.7,87.8,Type_A
1970061,80984.0,52.7,128.1,83.0,Type_C
1970062,57047.0,44.0,123.6,153.3,Type_B
1970063,62081.0,67.7,86.6,121.0,Type_B
1970064,45003.0,48.7,83.2,90.3,Type_B
1970065,83035.0,56.7,89.0,108.0,Type_C
1970066,52580.0,64.3,114.4,132.1,Type_C
1970067,51002.0,72.4,124.0,123.3,Type_C
1970068,39572.0,67.5,69.1,79.0,Type_B
1970069,82820.0,75.4,98.0,115.9,Type_B
1970070,86259.0,35.7,97.7,119.7,Type_A
1970071,79218.0,38.9,111.1,59.4,Type_C
1970072,79787.0,57.6,78.4,94.5,Type_C
1970073,59491.0,44.7,98.3,129.4,Type_C
1970074,15000.0,34.6,118.2,107.3,Type_C
1970075,76623.0,61.6,104.8,92.7,Type_C
1970076,55511.0,46.8,113.8,,Type_A
1970077,34484.0,22.3,93.5,75.4,Type_C
1970078,71465.0,43.0,122.7,112.4,Type_A
1970079,83473.0,76.0,72.8,64.7,Type_A
1970080,71267.0,54.6,109.5,83.3,Type_A
1970081,36434.0,97.5,159.3,78.5,Type_B
1970082,74285.0,52.3,91.8,100.9,Type_B
1970083,78904.0,26.7,127.6,82.8,Type_B
1970084,39535.0,57.9,111.4,30.3,Type_C
1970085,72396.0,46.7,120.9,97.8,Type_C
1970086,61197.0,44.6,101.4,67.7,Type_B
1970087,71552.0,58.4,109.2,80.3,Type_C
1970088,85472.0,41.0,94.4,148.5,Type_A
1970089,69818.0,33.0,91.1,113.0,Type_A
1970090,70936.0,39.7,51.8,141.8,Type_C
1970091,58702.0,34.8,65.1,90.5,Type_B
1970092,78261.0,38.7,101.4,76.3,Type_C
1970093,64837.0,60.3,113.8,67.4,Type_B
1970094,54946.0,46.8,119.8,144.5,Type_A
1970095,76096.0,37.0,94.0,66.4,Type_B
1970096,57261.0,47.3,145.0,96.4,Type_B
1970097,72833.0,29.6,92.4,75.4,Type_C
1970098,63760.0,39.5,97.0,56.3,Type_B
1970099,33330.0,57.2,82.3,159.3,Type_C
1970100,59117.0,36.6,76.4,68.5,Type_A
1970101,55325.0,26.7,101.5,110.6,Type_C
1970102,51761.0,46.8,101.7,81.6,Type_A
1970103,40292.0,27.1,128.9,104.8,Type_A
1970104,84320.0,57.4,103.3,110.0,Type_B
1970105,90363.0,51.5,110.5,88.7,Type_B
1970106,86861.0,57.8,98.8,119.6,Type_C
1970107,54273.0,44.2,125.4,65.1,Type_C
1970108,79954.0,58.3,90.7,119.7,Type_B
1970109,59731.0,23.5,112.7,92.6,Type_C
1970110,44418.0,49.0,122.2,91.1,Type_B
1970111,60643.0,59.5,71.4,91.9,Type_C
1970112,62488.0,28.3,121.6,87.0,Type_A
1970113,90245.0,69.5,134.2,146.7,Type_C
1970114,103247.0,50.1,66.9,101.1,Type_C
1970115,82839.0,44.6,96.3,106.4,Type_B
1970116,79972.0,35.7,98.3,77.4,Type_C
1970117,74615.0,80.2,143.9,102.2,Type_C
1970118,106716.0,54.3,104.6,84.3,Type_A
1970119,69011.0,46.9,115.0,95.3,Type_B
1970120,71708.0,39.3,97.8,76.4,Type_A
1970121,33622.0,69.3,79.1,74.6,Type_C
1970122,60871.0,45.2,103.1,132.8,Type_A
1970123,58611.0,17.4,94.9,79.2,Type_A
