CustomerID,TotalPurchases,AvgOrderValue,Tenure_Months,ChurnRisk,CustomerLifetimeValue
1210001,64.6,119.6,413.3,197.1,237.1
1210002,113.3,463.5,154.0,250.4,55.0
1210003,124.2,238.8,158.2,256.9,354.2
1210004,84.5,157.4,407.1,325.5,494.7
1210005,416.8,385.5,240.7,113.3,110.2
1210006,209.9,246.0,432.0,134.5,350.9
1210007,282.3,465.6,130.5,240.2,177.9
1210008,375.3,356.0,330.1,90.3,351.6
1210009,131.8,326.2,196.1,205.9,227.6
1210010,484.6,451.8,325.9,316.4,158.8
1210011,476.8,392.5,115.6,112.3,101.3
1210012,250.0,337.8,98.5,399.4,271.8
1210013,19.0,391.1,272.1,67.5,187.3
1210014,430.2,415.7,219.4,217.0,65.6
1210015,208.4,154.4,181.1,264.9,408.9
1210016,315.0,202.1,481.4,211.5,397.0
1210017,154.7,464.1,260.6,223.6,333.2
1210018,465.5,443.9,29.5,359.2,436.9
1210019,208.8,282.8,181.1,238.2,410.3
1210020,288.0,102.1,476.2,195.1,451.3
1210021,130.4,77.9,93.8,405.6,201.8
1210022,120.6,34.8,142.1,499.8,419.7
1210023,28.8,294.4,335.9,121.1,131.9
1210024,294.7,14.1,235.3,93.8,91.7
1210025,416.3,413.8,295.1,290.2,31.7
1210026,388.9,451.8,250.9,335.2,176.4
1210027,474.0,258.2,49.5,389.8,218.6
1210028,370.8,483.8,41.3,301.7,237.1
1210029,339.9,47.7,435.4,441.5,407.9
1210030,375.1,271.9,301.6,340.1,116.4
1210031,260.7,181.3,74.0,202.1,306.8
1210032,239.9,464.3,95.4,449.8,208.9
1210033,325.5,152.8,160.7,395.3,475.2
1210034,412.2,420.7,438.4,489.4,206.9
1210035,81.3,288.6,213.3,340.0,13.7
1210036,18.9,251.9,348.7,111.1,213.6
1210037,196.2,135.8,286.6,440.3,151.0
1210038,216.0,335.2,25.4,206.7,96.6
1210039,392.9,371.1,229.1,295.0,254.5
1210040,429.5,354.6,277.6,177.8,38.4
1210041,358.5,240.3,345.9,211.0,260.2
1210042,37.2,155.6,200.6,352.4,410.2
1210043,301.2,90.1,323.0,185.2,282.1
1210044,331.3,21.7,105.4,227.0,69.7
1210045,46.0,96.6,165.7,305.5,99.1
1210046,45.6,105.1,156.0,186.9,486.8
1210047,18.7,56.5,322.0,394.4,231.6
1210048,130.1,476.2,213.5,108.2,175.5
1210049,253.1,155.6,119.0,325.7,34.8
1210050,200.1,86.6,183.3,439.9,102.6
1210051,40.6,150.4,220.3,266.1,141.9
1210052,435.2,223.1,118.7,97.4,108.0
1210053,215.6,176.0,72.7,465.3,120.3
1210054,239.9,223.5,339.7,489.2,318.6
1210055,495.7,126.2,415.1,101.2,85.8
1210056,495.8,285.1,226.2,184.5,51.7
1210057,291.9,278.2,442.2,407.2,165.6
1210058,433.7,468.0,435.4,48.5,239.1
1210059,260.7,20.5,189.6,79.9,320.3
1210060,469.7,213.2,406.9,96.5,429.1
1210061,303.9,380.8,96.4,362.7,214.1
1210062,119.8,72.8,426.1,213.1,37.1
1210063,411.1,428.0,92.1,125.4,159.9
1210064,479.8,24.7,132.9,61.4,290.6
1210065,413.3,161.4,24.3,413.9,226.8
1210066,427.7,302.0,87.8,40.5,111.6
1210067,143.5,467.0,26.5,244.5,50.7
1210068,139.5,161.6,172.2,60.7,215.0
1210069,401.3,280.3,127.4,500.0,202.8
1210070,19.7,162.6,415.6,300.8,234.4
1210071,375.1,45.3,489.3,439.5,145.4
1210072,364.1,68.8,180.1,324.6,77.6
1210073,384.8,431.8,116.5,142.4,380.0
1210074,401.5,295.2,91.5,400.2,395.5
1210075,478.0,145.9,267.6,114.4,434.7
1210076,150.0,483.3,206.4,420.0,385.2
1210077,405.3,72.8,84.6,38.2,82.0
1210078,252.2,64.3,254.2,173.9,10.7
1210079,394.7,417.1,344.7,409.4,11.0
1210080,340.0,261.9,48.6,178.6,327.1
1210081,37.8,420.3,409.3,63.1,297.3
1210082,245.4,150.2,282.4,33.4,40.6
1210083,189.8,343.8,209.3,137.2,66.5
1210084,188.9,121.4,201.2,39.4,385.3
1210085,358.1,94.1,255.9,127.6,98.3
1210086,487.4,273.7,93.7,378.9,330.2
1210087,388.4,465.1,485.2,216.9,110.0
1210088,389.1,55.0,232.2,169.1,257.3
1210089,400.4,93.8,89.4,379.2,204.6
1210090,142.9,400.5,166.6,194.0,395.9
1210091,40.1,350.9,494.5,412.2,251.4
1210092,482.9,188.0,49.6,442.0,235.4
1210093,173.4,136.7,301.7,464.5,414.0
1210094,214.3,270.8,353.8,177.1,101.0
1210095,97.6,39.7,404.1,284.3,53.9
1210096,142.9,302.3,117.8,70.2,161.7
1210097,129.0,418.9,279.9,413.4,161.0
1210098,369.8,283.5,404.7,481.4,379.6
1210099,23.3,269.5,312.4,268.2,285.4
1210100,61.5,21.4,357.0,43.5,175.2
1210101,490.6,164.4,252.6,132.9,443.8
1210102,194.4,414.6,55.4,381.4,55.6
1210103,187.6,403.8,488.0,65.8,290.0
1210104,254.5,327.4,119.1,381.4,386.0
1210105,11.3,237.7,296.4,286.3,57.5
1210106,259.7,214.4,424.1,250.6,306.3
1210107,216.3,457.2,74.5,262.1,288.0
1210108,343.7,202.8,98.5,293.4,461.2
1210109,361.4,174.0,416.3,61.8,208.7
1210110,311.5,141.9,387.7,259.4,460.5
1210111,27.7,114.6,212.7,237.7,175.3
1210112,57.8,229.9,244.5,332.9,313.4
1210113,398.6,396.9,14.9,218.1,398.3
1210114,113.6,243.6,323.1,350.3,481.3
1210115,166.3,12.5,117.0,307.9,216.2
1210116,474.9,259.8,352.1,337.1,41.8
1210117,427.1,160.7,397.6,451.1,468.3
1210118,347.5,52.8,228.5,341.6,425.6
1210119,335.9,383.4,115.8,435.7,323.8
1210120,327.3,27.9,139.0,44.9,73.3
1210121,275.0,353.3,141.4,184.2,209.7
1210122,142.1,138.2,120.9,95.9,496.7
1210123,336.0,216.4,467.5,305.6,139.0
1210124,362.6,226.9,173.0,452.8,189.2
1210125,316.5,487.0,226.2,108.1,81.9
1210126,142.2,23.4,31.1,145.0,12.8
1210127,413.3,191.8,258.7,357.8,308.6
1210128,259.1,322.6,31.8,243.9,481.2
1210129,302.4,36.6,116.8,35.4,135.1
1210130,88.4,328.8,337.9,259.0,91.7
1210131,201.2,64.7,206.6,432.9,445.0
1210132,63.9,37.4,404.1,170.2,359.1
1210133,359.5,408.7,359.5,161.2,447.4
1210134,483.0,462.3,342.3,408.6,482.5
1210135,438.6,461.7,499.6,308.3,303.4
1210136,174.5,61.8,175.9,313.4,485.0
1210137,110.1,499.6,496.8,282.5,259.6
1210138,262.1,191.8,356.0,266.6,130.7
1210139,287.3,128.4,41.3,232.7,212.3
1210140,422.1,282.2,85.2,276.7,58.3
1210141,97.0,280.0,469.1,215.1,404.8
1210142,162.1,99.4,433.2,197.1,380.8
1210143,142.4,121.1,353.3,412.9,72.3
1210144,28.3,134.3,304.8,404.2,359.0
1210145,322.0,,401.4,68.3,436.6
1210146,35.2,50.6,269.3,306.6,359.2
1210147,60.4,135.8,97.3,57.1,498.1
1210148,329.3,144.1,144.9,196.7,159.5
1210149,154.0,153.0,16.9,335.1,490.7
1210150,360.5,286.1,414.7,224.1,382.6
1210151,277.0,,425.5,356.6,95.8
1210152,474.2,168.0,22.1,235.6,496.7
1210153,496.8,64.1,132.6,202.3,120.4
1210154,286.3,435.4,177.4,20.5,414.0
1210155,39.8,190.6,251.1,223.0,261.1
1210156,267.3,,411.6,193.7,257.7
1210157,314.6,308.1,104.3,65.9,298.9
1210158,76.0,12.6,466.0,89.8,23.3
1210159,182.1,312.6,460.9,44.2,371.4
1210160,468.4,452.0,298.2,406.8,396.8
1210161,200.7,80.1,483.7,72.8,335.7
1210162,423.3,181.1,95.3,19.4,265.4
1210163,309.1,191.2,33.3,281.9,279.5
1210164,160.9,100.3,80.3,431.3,217.3
1210165,366.1,362.3,183.0,452.2,257.2
1210166,297.5,468.6,417.7,360.0,262.3
1210167,276.5,10.2,255.6,436.4,39.6
1210168,124.1,448.8,232.1,102.9,420.5
1210169,69.5,107.2,453.9,413.1,70.3
1210170,168.6,233.0,232.8,448.0,463.9
1210171,334.2,444.2,113.9,371.7,307.2
1210172,38.4,182.7,452.4,114.3,286.5
1210173,363.8,437.2,326.8,124.4,331.8
1210174,271.9,76.8,401.8,443.5,243.3
1210175,440.3,263.2,445.4,248.5,371.3
1210176,255.2,164.5,289.9,67.4,203.2
1210177,157.0,60.0,27.1,482.3,77.8
1210178,246.4,455.0,135.8,407.2,458.8
1210179,53.4,48.5,313.8,128.0,317.4
1210180,475.4,144.7,30.8,468.8,452.7
1210181,122.7,389.9,30.7,332.4,336.1
1210182,377.2,171.1,377.8,268.3,88.5
1210183,484.5,256.9,295.4,48.3,200.8
1210184,234.7,271.4,125.2,428.8,164.3
1210185,62.0,460.3,116.1,16.8,487.1
1210186,373.7,213.5,217.3,64.4,294.5
1210187,37.3,356.2,353.0,27.2,388.3
