EmployeeID,ExpYears,Department,Gender,EducationLevel,Salary
1180001,471.9,HR,M,168.6,422.6
1180002,293.8,Engineering,F,348.8,270.6
1180003,38.7,Engineering,F,25.5,468.3
1180004,455.4,Sales,M,434.5,271.7
1180005,324.3,Support,M,35.8,489.6
1180006,469.5,HR,F,212.7,259.5
1180007,74.1,HR,F,360.2,268.0
1180008,290.2,Engineering,F,229.2,413.5
1180009,445.0,Engineering,F,167.4,469.7
1180010,492.4,HR,M,127.7,74.0
1180011,266.4,Support,F,386.6,91.8
1180012,328.0,Support,F,489.9,186.3
1180013,422.4,Engineering,F,320.1,494.0
1180014,310.4,Engineering,M,290.2,69.8
1180015,317.6,HR,F,217.4,28.2
1180016,456.7,Engineering,F,242.2,240.9
1180017,449.0,Engineering,M,111.7,293.6
1180018,200.6,Sales,F,241.0,192.6
1180019,329.8,Support,M,90.0,430.5
1180020,350.3,Sales,M,331.6,476.6
1180021,155.4,HR,F,261.7,27.3
1180022,27.8,HR,F,158.5,152.9
1180023,493.5,Sales,F,188.6,442.5
1180024,53.7,HR,M,17.6,363.0
1180025,248.0,Engineering,F,162.2,348.1
1180026,207.9,Support,M,382.2,262.4
1180027,375.5,Support,M,49.2,207.3
1180028,162.2,Support,M,361.6,322.0
1180029,11.9,HR,M,390.7,147.1
1180030,171.7,HR,M,53.4,74.7
1180031,426.9,Engineering,M,114.2,84.7
1180032,221.7,Sales,M,148.5,34.1
1180033,495.0,HR,M,444.3,402.2
1180034,77.2,Support,M,449.8,481.3
1180035,25.4,Engineering,M,448.2,168.4
1180036,99.9,Engineering,M,321.8,70.7
1180037,192.2,Support,M,420.3,32.2
1180038,272.7,Support,F,224.6,110.1
1180039,311.3,Sales,F,185.7,267.8
1180040,240.6,Engineering,M,429.6,
1180041,130.2,HR,M,456.9,97.3
1180042,52.2,Engineering,M,129.4,486.0
1180043,477.6,Support,M,94.5,298.2
1180044,357.7,Engineering,F,358.2,427.9
1180045,399.3,Engineering,F,323.3,487.4
1180046,226.7,Sales,F,73.7,180.8
1180047,420.3,Sales,F,32.4,489.2
1180048,28.7,Sales,F,464.1,256.5
1180049,338.6,HR,F,321.3,83.7
1180050,93.3,HR,F,376.4,421.1
1180051,461.8,Engineering,M,178.6,361.6
1180052,115.6,Sales,F,418.5,375.8
1180053,224.5,Support,F,180.5,459.0
1180054,172.2,Support,M,336.7,371.3
1180055,210.4,Sales,M,215.1,220.2
1180056,80.3,Support,F,277.8,102.7
1180057,484.6,Sales,M,107.6,417.1
1180058,495.4,Engineering,M,103.7,162.1
1180059,138.9,Sales,M,152.6,96.0
1180060,47.6,Support,F,478.6,303.9
1180061,147.6,Sales,F,248.1,485.1
1180062,413.2,Engineering,M,332.1,455.5
1180063,328.8,Sales,M,38.6,261.3
1180064,296.1,Support,F,265.2,198.0
1180065,369.6,Engineering,F,166.4,352.5
1180066,110.4,Sales,F,279.6,27.5
1180067,152.1,Engineering,M,51.2,343.2
1180068,464.1,Sales,M,368.1,448.4
1180069,209.8,Engineering,M,237.2,63.1
1180070,346.1,HR,F,82.6,116.7
1180071,289.8,HR,M,369.3,171.0
1180072,241.0,Sales,F,307.3,22.1
1180073,58.1,Support,M,496.0,203.6
1180074,80.2,Support,M,395.9,253.2
1180075,474.7,HR,M,363.9,20.2
1180076,101.6,Support,M,442.7,280.0
1180077,277.9,Support,M,490.6,144.4
1180078,413.0,Support,M,455.0,443.2
1180079,280.5,Sales,F,356.1,52.7
1180080,216.0,Support,F,76.8,297.8
1180081,53.3,Engineering,M,211.0,443.8
1180082,132.1,Engineering,F,116.2,326.4
1180083,411.5,HR,M,218.1,351.8
1180084,83.0,Engineering,M,263.1,230.1
1180085,127.1,Engineering,M,435.7,77.0
1180086,274.1,Engineering,F,190.0,198.5
1180087,276.2,HR,M,151.1,407.6
1180088,22.6,Sales,M,463.5,280.0
