SalespersonID,TargetAmount_K,BaseSalaryRatio_Percent,SalesVolume_K,QuotaAttained_Percent,BonusPaid_K
1470001,102.9,35.9,98.4,53.6,119.1
1470002,47.0,47.3,120.7,38.9,121.3
1470003,61.3,64.2,80.6,63.9,104.7
1470004,71.3,39.5,71.8,43.3,138.0
1470005,129.6,45.5,78.2,67.0,100.4
1470006,63.8,42.3,89.3,60.3,101.4
1470007,106.3,23.0,127.4,33.5,84.2
1470008,92.7,20.9,104.0,46.5,98.4
1470009,74.9,53.7,110.2,22.8,90.7
1470010,70.1,41.7,132.4,46.1,68.3
1470011,84.4,12.6,107.8,64.9,116.1
1470012,62.8,40.8,138.9,38.7,108.5
1470013,58.0,40.9,101.1,46.0,151.5
1470014,63.6,29.2,132.2,58.3,125.5
1470015,63.0,60.2,106.1,28.6,116.5
1470016,53.2,27.7,72.5,70.8,129.7
1470017,85.8,46.4,69.1,36.3,101.0
1470018,74.5,34.4,89.1,29.2,80.7
1470019,70.0,48.7,66.6,50.6,89.6
1470020,85.3,38.6,140.4,39.8,127.6
1470021,68.6,53.4,93.3,21.4,122.5
1470022,46.1,65.1,117.3,58.5,92.3
1470023,72.1,56.4,91.3,60.4,105.4
1470024,117.4,45.3,116.5,55.0,115.1
1470025,69.0,47.6,73.4,67.1,95.5
1470026,55.7,71.6,127.9,71.9,88.7
1470027,64.6,25.8,110.8,39.1,86.4
1470028,79.7,46.9,104.5,31.8,119.3
1470029,95.8,79.6,91.0,20.8,104.6
1470030,75.0,46.9,119.6,48.6,58.2
1470031,83.1,55.0,98.5,32.2,83.0
1470032,21.7,45.4,135.6,70.8,98.6
1470033,72.0,37.0,111.8,37.4,138.9
1470034,60.6,61.1,102.6,57.0,138.4
1470035,75.1,36.7,116.7,47.5,98.1
1470036,87.6,60.6,28.0,51.9,135.2
1470037,96.1,28.2,97.2,58.1,52.5
1470038,102.9,53.0,104.9,42.6,117.1
1470039,71.3,58.0,53.7,48.9,151.3
1470040,45.2,54.5,94.2,63.6,178.1
1470041,96.7,50.2,90.8,56.4,94.5
1470042,74.7,37.6,102.6,75.2,102.8
1470043,42.1,20.1,55.3,53.4,99.3
1470044,78.6,41.9,89.8,62.8,93.8
1470045,72.4,56.3,116.9,49.5,144.6
1470046,56.4,31.4,98.2,48.5,124.6
1470047,38.6,14.1,93.1,,123.4
1470048,67.8,60.0,132.2,64.1,104.7
1470049,80.7,66.4,99.0,63.8,87.3
1470050,55.1,52.5,85.3,49.6,70.8
1470051,76.9,40.3,139.7,30.0,144.0
1470052,66.1,18.3,91.0,59.5,105.1
1470053,67.1,7.6,122.9,21.7,67.6
1470054,73.4,34.5,85.4,26.0,100.4
1470055,102.9,33.8,131.3,41.0,130.0
1470056,83.1,36.7,91.7,58.8,74.0
