StudentID,ScholarshipAmount_K,PriorGPA,PostGPA,StudyHoursWeekly,GPASignificantlyImproved
1730001,80.5,57.4,115.7,27.7,1
1730002,64.4,74.9,83.2,18.9,1
1730003,126.3,51.7,101.4,38.3,1
1730004,88.8,72.1,102.5,24.8,1
1730005,102.7,127.2,55.9,39.8,1
1730006,86.1,98.3,86.1,16.1,1
1730007,110.3,59.3,139.7,8.8,1
1730008,58.0,102.1,86.2,43.0,0
1730009,74.6,114.2,104.8,11.8,0
1730010,58.5,133.3,125.8,40.7,1
1730011,50.7,101.2,104.0,14.7,0
1730012,69.8,120.4,132.4,31.7,1
1730013,101.8,110.5,39.5,31.1,1
1730014,67.3,81.2,88.8,33.3,1
1730015,98.3,76.6,119.1,20.6,1
1730016,99.4,125.7,108.1,26.5,0
1730017,93.3,90.4,115.7,15.6,0
1730018,80.2,119.4,143.2,24.8,0
1730019,48.6,86.5,78.2,32.8,0
1730020,100.1,94.5,119.8,34.1,0
1730021,76.3,134.2,90.7,19.7,1
1730022,110.5,38.3,93.4,18.9,1
1730023,98.0,132.2,72.2,32.8,1
1730024,76.2,76.4,119.3,16.1,0
1730025,75.4,100.0,120.0,21.3,0
1730026,82.4,96.4,101.8,35.0,1
1730027,85.4,127.6,119.6,43.8,0
1730028,68.9,140.8,96.5,21.4,0
1730029,79.8,119.8,91.3,35.3,0
1730030,74.4,54.2,99.8,5.5,1
1730031,69.5,71.6,98.7,13.7,0
1730032,57.6,129.6,94.6,7.2,0
1730033,90.0,110.3,44.8,44.7,1
1730034,20.0,131.6,66.2,31.4,0
1730035,66.2,106.6,74.3,12.5,1
1730036,104.6,121.7,134.2,29.2,0
1730037,91.2,113.8,80.6,14.0,1
1730038,62.1,103.8,104.4,21.8,0
1730039,43.7,108.3,90.0,22.3,1
1730040,101.6,102.5,49.8,25.6,1
1730041,93.4,105.0,115.8,7.0,0
1730042,56.5,83.7,129.1,30.8,0
1730043,72.3,94.7,127.4,34.5,0
1730044,71.4,99.2,125.4,33.3,0
1730045,110.4,76.8,93.2,44.6,1
1730046,56.6,62.9,108.8,29.5,1
1730047,85.2,98.8,118.6,39.0,0
1730048,86.9,82.2,49.2,10.9,1
1730049,90.7,135.2,95.3,32.8,0
1730050,96.1,87.9,72.1,13.6,1
1730051,98.1,73.3,108.2,6.0,1
1730052,48.4,118.9,119.9,43.5,0
1730053,85.7,92.4,138.0,33.3,0
1730054,68.0,75.7,77.3,21.7,1
1730055,86.2,121.2,87.1,29.6,0
1730056,43.0,127.1,124.9,8.2,0
1730057,64.3,96.1,91.8,11.1,1
1730058,92.9,81.3,76.7,31.2,1
1730059,56.4,95.3,110.6,16.4,0
1730060,63.1,49.4,45.7,9.0,1
1730061,68.9,125.3,84.5,7.9,0
1730062,69.1,97.4,70.5,31.8,1
1730063,76.0,133.7,91.2,14.3,0
1730064,97.2,95.9,49.9,10.2,1
1730065,82.6,89.3,125.0,5.9,0
1730066,78.9,146.0,127.1,19.9,0
1730067,66.9,87.8,99.5,28.2,1
1730068,55.3,88.1,111.7,15.7,1
1730069,95.6,99.9,91.4,5.8,1
1730070,83.2,85.4,107.2,12.4,1
1730071,67.2,97.7,111.1,32.6,0
1730072,67.3,160.4,72.5,38.6,0
1730073,82.9,102.9,91.6,14.0,1
1730074,52.9,82.6,118.4,9.6,0
1730075,76.1,110.7,109.4,8.5,0
1730076,95.3,98.1,113.0,44.1,0
1730077,73.4,113.9,104.9,12.8,0
1730078,115.2,118.2,126.9,40.1,1
1730079,64.8,111.0,68.5,32.5,1
1730080,52.0,107.5,118.4,33.7,0
1730081,83.0,63.6,105.2,20.4,0
1730082,94.2,54.3,148.0,14.7,0
1730083,112.1,93.4,41.3,27.4,1
1730084,57.0,97.8,122.2,5.0,1
1730085,78.6,70.7,99.5,25.7,1
1730086,26.5,73.1,106.5,34.2,1
1730087,34.9,132.0,78.9,37.9,0
1730088,56.0,120.8,116.4,32.4,0
1730089,71.5,84.5,97.7,24.9,1
1730090,111.6,130.7,98.4,33.7,0
1730091,58.5,73.1,119.8,5.0,1
1730092,85.1,86.8,74.3,20.0,1
1730093,80.6,63.7,121.4,39.5,1
1730094,112.5,90.2,52.6,11.6,1
1730095,76.8,77.5,115.6,43.0,1
1730096,35.6,81.4,74.7,15.8,1
1730097,58.8,133.1,63.0,24.8,1
1730098,71.5,120.8,91.6,23.1,1
1730099,72.4,65.0,145.6,41.7,0
1730100,81.2,87.5,143.7,16.9,0
1730101,59.3,149.6,127.2,22.4,0
1730102,74.5,92.9,71.5,35.5,0
1730103,74.2,117.8,81.5,26.9,0
1730104,128.0,113.5,107.5,24.8,0
1730105,61.7,106.6,73.8,16.9,1
1730106,118.7,105.0,85.6,13.8,0
1730107,81.1,79.7,39.2,32.8,1
1730108,84.4,113.3,82.6,36.8,1
1730109,104.7,75.8,124.5,12.3,1
1730110,86.6,134.0,107.6,10.4,0
1730111,122.3,69.0,69.3,30.9,1
1730112,52.4,145.1,98.5,24.8,0
1730113,89.0,102.3,117.0,13.5,0
1730114,62.9,106.5,102.8,42.0,0
1730115,64.3,110.2,85.2,36.4,1
1730116,60.2,66.1,83.9,13.1,1
1730117,87.6,76.5,58.1,30.0,1
1730118,75.2,93.3,94.7,35.9,1
1730119,66.3,83.2,91.3,25.3,1
1730120,43.9,110.1,106.5,14.6,0
1730121,86.5,121.8,121.2,27.6,0
1730122,60.1,94.7,113.3,43.2,0
1730123,52.2,110.6,96.7,15.5,1
1730124,74.0,97.1,52.1,43.6,1
1730125,84.8,93.7,94.6,41.0,1
1730126,70.5,64.4,65.9,14.9,1
1730127,119.9,86.7,88.5,26.3,1
1730128,55.7,89.5,70.4,10.2,1
1730129,91.7,74.1,77.1,24.3,1
1730130,74.6,83.0,131.0,19.2,0
1730131,58.5,44.3,102.7,43.3,1
1730132,104.1,72.9,72.2,44.6,1
1730133,70.7,117.7,95.0,30.3,0
1730134,98.6,106.2,71.1,35.6,1
1730135,86.0,121.6,54.8,44.9,0
1730136,103.6,101.4,100.7,43.7,1
1730137,42.4,138.9,82.2,37.1,0
1730138,67.0,65.9,78.5,31.4,1
1730139,77.9,122.1,101.4,15.7,0
1730140,60.4,86.9,130.1,30.8,0
1730141,91.6,115.8,96.8,18.5,0
1730142,64.2,162.9,86.4,30.8,0
1730143,90.7,110.3,131.1,6.3,1
1730144,54.0,112.5,138.1,,0
1730145,77.3,129.0,101.4,38.9,0
1730146,52.8,68.7,96.8,9.9,1
1730147,62.6,131.0,100.8,34.3,0
1730148,47.8,90.8,117.0,19.5,0
1730149,85.0,132.0,124.4,27.8,0
1730150,61.3,97.9,113.8,43.1,0
1730151,68.5,122.3,112.1,29.4,0
1730152,56.5,95.6,127.9,20.6,0
1730153,64.6,50.0,80.8,37.6,0
1730154,56.6,109.6,74.9,12.8,0
1730155,60.9,130.0,120.3,12.4,0
1730156,89.1,112.2,101.3,18.3,0
1730157,63.8,83.8,86.0,34.1,1
1730158,84.1,89.0,95.7,31.4,0
1730159,53.2,133.6,108.8,24.2,1
1730160,49.9,61.2,124.0,37.7,1
1730161,68.1,83.5,134.3,16.3,0
1730162,82.2,78.1,95.0,35.4,0
1730163,82.0,124.6,78.5,25.2,0
1730164,63.6,77.7,87.8,43.9,1
1730165,54.6,89.8,84.5,23.1,1
1730166,104.3,124.0,98.1,38.4,0
1730167,51.2,107.6,100.9,39.5,0
1730168,90.0,105.9,63.1,37.9,1
1730169,80.2,93.2,119.6,30.6,0
1730170,50.0,101.1,82.6,27.3,1
1730171,82.9,105.6,118.3,36.1,0
1730172,67.2,101.2,56.0,28.3,1
1730173,61.5,107.7,124.8,8.7,0
1730174,70.3,98.4,102.9,35.7,1
1730175,62.5,72.7,85.9,35.2,1
1730176,69.8,145.0,99.7,34.3,0
1730177,91.2,71.3,104.9,13.7,1
1730178,79.9,147.4,120.3,14.1,0
1730179,75.0,105.1,97.6,23.5,0
1730180,51.1,110.0,86.2,8.2,0
1730181,83.4,140.2,85.6,24.5,0
1730182,76.5,108.0,117.3,13.2,0
1730183,40.5,125.3,88.1,6.5,0
1730184,94.9,158.3,103.4,12.7,0
1730185,77.9,137.1,78.3,17.1,0
1730186,107.0,101.9,92.7,39.4,0
1730187,44.8,122.6,140.6,35.2,0
1730188,102.7,48.7,74.9,44.1,1
1730189,59.1,104.6,128.7,23.0,0
1730190,87.8,64.5,136.2,43.8,1
1730191,100.7,108.5,98.6,22.1,1
1730192,77.9,135.3,71.9,32.4,1
1730193,87.4,102.5,123.0,5.9,0
1730194,78.1,109.6,62.0,32.2,0
1730195,57.9,98.0,99.7,19.3,0
1730196,84.0,100.5,94.5,9.9,0
1730197,91.4,124.6,18.4,9.8,1
1730198,105.8,60.0,127.8,6.9,1
1730199,64.8,124.8,118.1,35.6,0
1730200,115.0,107.1,120.5,34.2,0
1730201,107.1,54.9,119.2,38.5,0
1730202,89.8,112.9,107.8,14.3,0
1730203,66.5,84.2,103.6,32.1,1
1730204,76.1,114.6,96.2,39.2,1
1730205,77.2,58.0,143.2,5.9,0
1730206,48.7,113.3,115.9,30.5,0
1730207,59.6,130.1,97.2,15.8,0
1730208,81.8,83.7,98.0,8.8,1
1730209,101.8,63.8,109.6,20.6,1
1730210,86.6,87.4,159.9,23.4,0
1730211,31.8,81.5,73.5,35.0,1
1730212,72.5,101.1,125.7,27.2,0
1730213,60.5,112.1,111.3,21.9,0
1730214,80.3,69.0,84.9,34.0,0
1730215,72.4,103.8,103.4,7.8,0
1730216,57.4,92.0,140.8,12.6,0
1730217,63.3,112.5,76.7,40.0,1
1730218,32.9,122.3,89.0,26.6,0
1730219,102.2,71.1,97.2,40.6,0
1730220,64.1,98.1,70.5,28.7,1
1730221,29.2,107.8,104.2,21.2,1
1730222,88.7,95.9,115.0,10.8,0
1730223,70.2,110.7,121.2,24.4,0
1730224,87.8,119.5,113.4,44.1,1
1730225,61.2,111.9,94.9,39.5,0
1730226,83.3,152.8,90.3,10.6,0
1730227,84.5,53.7,100.7,19.7,1
1730228,105.1,88.7,117.2,33.2,1
1730229,96.7,85.2,137.6,10.4,0
1730230,92.6,71.5,89.9,27.9,1
1730231,46.4,103.8,85.3,42.4,1
1730232,69.0,71.5,95.0,38.5,1
1730233,71.7,119.6,98.8,32.1,1
1730234,80.1,100.2,66.0,33.1,1
1730235,72.6,118.9,110.3,15.3,1
1730236,80.4,95.8,123.1,43.0,0
1730237,63.0,155.4,48.4,20.1,0
1730238,61.0,86.2,100.5,16.5,1
1730239,69.3,111.0,112.4,19.7,0
1730240,53.2,97.1,83.4,42.6,1
1730241,79.6,94.9,67.8,14.6,1
1730242,60.9,128.0,134.2,9.0,0
