PanelID,DaysWithoutRain,DustDensityScore,AmbientTemp,PowerOutput_kWh,EfficiencyDrop_Percent
1520001,98.0,9.6,17.1,250.0,48.9
1520002,94.7,8.3,18.6,323.0,43.4
1520003,77.8,6.4,12.0,375.4,25.6
1520004,57.9,8.4,5.8,406.7,30.0
1520005,94.7,5.6,10.5,275.7,49.1
1520006,86.6,9.3,-0.6,83.9,36.6
1520007,85.0,10.0,21.5,328.5,39.4
1520008,112.7,7.4,6.4,396.8,45.7
1520009,59.1,7.9,16.0,309.7,37.4
1520010,104.4,6.0,31.7,420.9,39.7
1520011,148.6,7.4,9.8,313.8,34.1
1520012,79.5,6.6,28.0,220.3,44.9
1520013,119.9,7.4,17.8,243.3,55.6
1520014,95.4,4.5,32.0,270.8,36.9
1520015,132.3,8.5,21.9,274.0,40.7
1520016,124.7,5.9,24.8,402.8,18.9
1520017,40.3,9.4,15.9,223.5,50.1
1520018,128.2,7.6,12.5,194.1,42.3
1520019,93.8,3.8,24.4,147.3,62.8
1520020,79.4,7.3,9.2,269.9,19.6
1520021,94.0,6.4,12.4,303.8,28.3
1520022,112.8,4.8,19.3,192.8,58.1
1520023,83.6,8.2,19.5,272.6,19.6
1520024,78.2,5.5,14.1,256.5,38.1
1520025,104.0,6.5,22.1,172.5,47.5
1520026,89.6,9.1,16.0,357.4,29.1
1520027,121.8,9.4,-2.0,209.0,56.5
1520028,85.7,4.7,27.0,230.4,51.3
1520029,88.3,8.3,11.8,183.9,72.1
1520030,125.3,10.0,17.8,313.0,57.5
1520031,48.0,6.4,18.3,271.3,34.9
1520032,157.0,9.0,29.6,121.2,52.7
1520033,115.5,8.9,19.5,197.5,45.0
1520034,57.2,6.6,14.4,243.1,98.3
1520035,66.7,,29.2,356.2,48.1
1520036,66.3,7.9,6.1,304.2,39.2
1520037,84.7,7.6,27.3,231.2,61.3
1520038,88.5,10.0,19.1,287.9,52.3
1520039,117.4,6.7,17.5,160.2,23.6
1520040,82.3,7.6,16.8,137.5,53.5
1520041,109.1,7.9,34.6,193.1,25.0
1520042,78.8,5.7,14.7,92.8,72.5
1520043,49.2,8.5,21.9,181.0,41.0
1520044,108.1,9.4,20.0,213.4,49.7
1520045,98.5,4.4,23.6,127.5,43.5
1520046,106.8,8.9,32.3,303.7,67.7
1520047,62.7,8.1,22.4,220.1,31.8
1520048,98.3,9.1,16.4,304.8,26.4
1520049,99.1,9.1,6.0,142.5,27.0
1520050,108.1,9.1,13.2,206.7,45.3
1520051,105.9,2.4,20.4,315.9,30.4
1520052,120.9,8.3,10.4,292.0,51.7
1520053,122.8,8.6,18.0,127.5,48.4
1520054,108.6,7.6,30.7,315.0,58.0
1520055,96.2,9.5,12.6,294.4,43.2
1520056,114.1,7.9,18.9,194.1,41.8
1520057,70.8,7.0,28.7,134.1,32.0
1520058,53.9,7.3,12.8,256.8,64.3
1520059,119.8,5.5,25.7,268.5,55.2
1520060,43.5,6.6,13.4,365.0,40.5
1520061,118.3,5.8,18.3,186.8,60.7
1520062,81.7,3.6,12.1,303.5,48.0
1520063,124.1,8.1,32.2,308.8,40.6
1520064,86.4,5.8,18.8,179.0,15.9
1520065,104.8,7.9,23.4,212.0,80.4
1520066,75.9,6.4,18.6,310.9,63.7
1520067,145.4,7.5,8.6,266.3,34.8
1520068,46.7,5.8,17.5,406.4,41.4
1520069,147.6,7.1,24.1,144.7,35.9
1520070,98.6,6.1,15.9,317.6,42.7
1520071,58.2,5.1,10.6,302.6,42.2
1520072,81.9,5.9,27.7,116.4,64.3
1520073,62.3,5.2,16.4,134.9,32.5
1520074,70.5,4.6,29.9,319.9,57.9
1520075,62.6,5.5,7.9,214.5,54.4
1520076,113.9,9.4,22.0,237.6,33.9
1520077,94.9,10.0,18.8,237.9,62.7
1520078,104.7,4.7,8.2,181.4,45.4
1520079,94.0,7.1,11.1,205.4,23.7
1520080,84.7,7.6,10.3,153.5,37.0
1520081,104.4,7.2,6.7,221.5,28.1
1520082,119.1,7.7,18.8,379.2,39.6
1520083,109.8,5.8,7.1,156.7,51.0
1520084,106.6,6.4,14.9,230.8,31.0
1520085,111.7,8.0,26.7,182.3,40.8
1520086,85.0,6.3,17.9,246.0,35.0
1520087,156.4,7.5,30.5,233.9,47.1
1520088,111.8,8.2,21.0,195.0,16.4
1520089,113.2,6.1,22.1,271.0,23.8
1520090,112.1,6.0,12.6,104.5,69.8
1520091,96.1,5.8,17.7,275.3,41.3
1520092,123.2,5.5,21.7,261.1,48.1
1520093,53.8,8.8,9.4,259.8,34.8
1520094,125.3,6.3,29.2,215.6,57.4
1520095,101.8,6.5,18.1,292.9,15.9
1520096,118.3,5.7,12.4,314.3,38.3
1520097,108.6,5.1,13.0,115.1,25.4
1520098,78.9,8.1,18.7,130.5,66.1
1520099,74.2,8.2,27.2,259.1,28.5
1520100,42.9,5.1,21.1,209.3,61.9
1520101,106.4,6.1,26.6,322.4,33.0
1520102,124.9,7.6,25.9,135.9,47.7
1520103,103.7,,7.5,311.0,57.7
1520104,66.6,7.1,10.8,288.5,56.3
1520105,87.3,7.7,8.9,172.6,35.3
1520106,110.8,6.8,23.6,148.9,19.8
1520107,141.3,4.7,23.2,223.4,34.9
1520108,75.1,7.6,18.8,326.3,34.1
1520109,65.8,5.7,15.2,277.5,63.2
1520110,110.7,8.2,30.8,386.2,56.6
1520111,131.4,5.7,25.5,193.1,35.2
1520112,107.1,6.5,27.4,198.4,68.8
1520113,106.2,7.0,17.8,212.9,29.0
1520114,87.0,9.3,16.7,318.9,21.0
1520115,108.1,6.8,27.5,156.9,60.5
1520116,124.5,4.1,17.3,191.9,20.6
1520117,101.2,5.0,12.2,398.2,32.9
1520118,89.9,9.1,25.8,137.2,56.2
1520119,90.9,5.9,33.1,366.5,74.2
1520120,92.0,9.4,15.9,235.5,36.5
1520121,104.1,3.9,6.5,230.4,45.1
1520122,76.8,7.3,25.5,274.7,41.1
1520123,114.9,3.8,10.3,295.6,49.5
1520124,102.0,6.9,40.0,208.9,58.2
1520125,83.1,7.8,0.0,125.7,17.3
1520126,58.7,9.3,20.6,223.9,30.1
