TicketID,OpponentRank,RemainingSeatsRatio_Percent,WeatherCondition,FinalTicketPrice_KRW,SoldOutExpected
1940001,136.7,39.1,71.0,70707.0,1
1940002,154.9,48.8,127.4,54767.0,0
1940003,129.1,27.0,117.0,50294.0,0
1940004,121.3,61.1,83.0,79879.0,0
1940005,105.6,35.4,149.2,47821.0,0
1940006,70.0,29.2,94.9,51462.0,0
1940007,125.7,35.7,109.9,77793.0,1
1940008,131.4,54.3,89.8,56721.0,1
1940009,88.2,46.9,119.4,71517.0,1
1940010,105.2,37.7,94.2,29836.0,0
1940011,48.2,58.7,74.9,64561.0,0
1940012,94.0,27.3,125.6,39447.0,1
1940013,93.6,36.9,143.6,56417.0,1
1940014,117.9,20.3,103.6,78058.0,1
1940015,123.0,35.7,76.0,76721.0,1
1940016,95.2,21.7,97.5,76917.0,1
1940017,64.8,51.9,96.4,25004.0,1
1940018,81.3,28.6,119.5,84347.0,1
1940019,129.0,52.6,105.9,59394.0,0
1940020,122.8,41.9,106.3,45756.0,1
1940021,90.3,32.9,88.1,90873.0,0
1940022,96.9,45.4,77.1,61651.0,0
1940023,125.4,27.0,35.6,91303.0,1
1940024,93.5,23.3,101.1,52339.0,1
1940025,114.1,58.9,96.3,72870.0,0
1940026,129.4,56.3,83.6,100275.0,0
1940027,99.8,46.9,89.8,61950.0,0
1940028,79.2,64.2,98.3,81562.0,0
1940029,73.7,60.3,73.2,67499.0,1
1940030,73.2,44.1,90.0,50124.0,0
1940031,54.3,27.0,92.5,69625.0,0
1940032,79.1,56.5,70.6,61611.0,1
1940033,126.1,61.0,113.9,72307.0,0
1940034,106.8,41.0,98.1,40108.0,1
1940035,111.2,51.6,136.0,51568.0,0
1940036,110.2,19.2,119.7,41770.0,1
1940037,109.2,35.7,123.1,67665.0,0
1940038,132.4,53.2,134.4,61286.0,0
1940039,100.9,27.3,108.5,47196.0,0
1940040,2.0,22.6,59.7,51938.0,1
1940041,145.9,35.9,122.5,88478.0,1
1940042,75.7,67.9,72.3,32170.0,1
1940043,122.5,63.6,65.3,55722.0,1
1940044,60.8,57.5,64.1,83950.0,1
1940045,102.4,44.2,100.3,74847.0,0
1940046,137.3,26.4,35.0,38375.0,1
1940047,90.1,45.3,82.9,64148.0,1
1940048,103.6,56.5,84.3,77014.0,1
1940049,127.0,43.8,113.4,62501.0,1
1940050,65.2,47.1,78.0,62117.0,0
1940051,54.9,53.2,80.9,63502.0,0
1940052,119.1,77.3,65.5,51708.0,1
1940053,124.2,30.7,140.7,58160.0,1
1940054,70.3,52.3,104.6,69538.0,0
1940055,106.8,43.2,141.5,81092.0,1
1940056,72.8,41.2,113.5,74664.0,1
1940057,89.9,60.8,54.3,54257.0,0
1940058,103.3,35.8,100.5,56621.0,1
1940059,97.4,59.2,100.0,68102.0,0
1940060,79.1,50.6,102.6,44832.0,0
1940061,85.2,44.6,116.5,69373.0,1
1940062,54.6,1.1,96.8,66463.0,0
1940063,94.7,39.8,115.8,94735.0,0
1940064,123.9,56.5,98.8,80732.0,1
1940065,82.5,43.5,107.4,36750.0,0
1940066,103.1,24.5,98.2,67978.0,0
1940067,91.9,79.6,82.0,86564.0,0
1940068,104.6,19.6,94.1,62730.0,0
1940069,66.1,18.0,92.5,48519.0,0
1940070,67.5,26.7,99.9,29708.0,1
1940071,63.3,53.1,123.6,43961.0,1
1940072,101.2,32.6,74.9,79957.0,1
1940073,122.6,65.1,86.1,74523.0,0
1940074,74.9,36.4,62.5,49439.0,0
1940075,98.6,57.3,128.6,64013.0,0
1940076,124.9,32.7,78.5,40917.0,1
1940077,141.2,39.5,94.4,51354.0,1
1940078,73.2,42.1,93.8,41571.0,0
1940079,80.0,81.1,99.6,75710.0,0
1940080,80.8,43.4,68.3,44842.0,0
1940081,83.1,55.9,100.6,87876.0,1
1940082,43.9,63.7,123.9,42732.0,0
1940083,94.1,11.4,103.0,73058.0,0
1940084,125.1,46.1,92.3,98787.0,0
1940085,91.2,17.4,113.3,49640.0,0
1940086,103.0,12.8,94.4,88947.0,0
1940087,124.6,47.2,107.7,74718.0,1
1940088,134.6,44.8,151.5,68560.0,1
1940089,88.0,29.0,96.6,67704.0,1
1940090,89.0,90.8,125.5,88213.0,1
1940091,111.5,65.7,107.6,19721.0,1
1940092,88.3,37.4,61.4,52503.0,1
1940093,90.9,52.1,31.7,84189.0,1
1940094,97.2,30.6,110.6,78149.0,1
1940095,90.8,44.5,103.9,60776.0,1
1940096,85.1,49.6,76.8,67259.0,0
1940097,111.5,60.5,113.6,50268.0,1
1940098,124.6,54.9,121.0,55136.0,1
1940099,114.4,50.6,121.4,40403.0,0
1940100,96.1,24.7,114.9,59072.0,1
1940101,106.3,41.0,117.2,44751.0,1
1940102,100.3,57.0,158.9,119091.0,0
1940103,99.1,44.2,144.6,91697.0,1
1940104,92.6,35.8,119.0,94630.0,0
1940105,65.7,34.0,104.4,58802.0,1
1940106,92.1,54.1,67.8,75915.0,0
1940107,143.8,64.6,136.1,59635.0,0
1940108,52.0,31.1,102.0,83377.0,1
1940109,66.1,28.4,79.1,69280.0,0
1940110,100.4,55.0,114.7,76513.0,0
1940111,113.1,47.2,139.1,76266.0,1
1940112,99.9,44.2,112.6,60945.0,1
1940113,81.4,53.0,59.8,66766.0,0
1940114,131.9,58.5,134.8,65087.0,1
1940115,123.8,34.9,70.1,30296.0,1
1940116,105.2,20.3,73.5,78793.0,1
1940117,86.7,13.8,114.2,48646.0,0
1940118,117.3,47.0,113.1,58611.0,0
1940119,94.6,40.3,81.3,76314.0,0
1940120,97.9,51.6,100.8,84305.0,0
1940121,86.4,46.3,86.1,63103.0,1
1940122,122.4,54.0,89.0,93434.0,0
1940123,103.5,45.2,98.4,40011.0,0
1940124,64.0,32.8,75.7,47247.0,0
1940125,120.9,49.9,97.5,48354.0,0
1940126,112.5,31.3,120.6,75715.0,0
1940127,101.5,59.0,139.1,63615.0,0
1940128,120.0,30.5,99.9,64720.0,0
1940129,66.6,44.2,79.3,64323.0,0
1940130,133.4,42.1,141.3,47615.0,1
1940131,116.1,58.1,101.1,98100.0,1
1940132,100.8,40.4,128.0,55143.0,0
1940133,102.0,45.3,109.5,57353.0,1
1940134,115.2,36.3,124.9,70515.0,1
1940135,78.5,42.3,30.1,50137.0,0
1940136,125.5,23.3,101.0,79127.0,1
1940137,111.4,25.1,111.7,58838.0,1
1940138,94.8,23.1,153.5,88938.0,0
1940139,142.9,36.7,100.9,26699.0,0
1940140,113.6,49.8,92.9,67305.0,0
1940141,75.4,41.4,99.6,90851.0,1
1940142,113.3,48.0,100.8,56469.0,0
1940143,106.5,45.8,80.1,49801.0,1
1940144,58.4,42.5,82.5,63751.0,1
1940145,126.6,40.3,94.6,54087.0,1
1940146,79.5,62.2,106.6,40333.0,1
1940147,130.0,39.3,118.1,39180.0,0
1940148,97.1,32.5,83.5,55212.0,1
