DayID,TradingVolume,DailyRange_Percent,VIX_Index,InstitutionalBuy_Percent,PriceVolatility
1200001,342.2,48.8,138.5,224.5,139.6
1200002,261.3,189.5,308.0,399.9,262.9
1200003,315.6,338.2,315.5,261.6,482.3
1200004,243.8,368.2,408.9,384.1,99.4
1200005,235.5,86.7,420.2,101.0,91.5
1200006,475.9,209.1,355.6,387.0,222.3
1200007,492.4,18.3,399.4,118.2,348.7
1200008,428.7,19.2,216.1,198.7,167.4
1200009,299.6,340.9,,412.1,205.2
1200010,109.6,373.6,154.7,34.3,376.4
1200011,138.6,465.1,28.3,465.8,341.5
1200012,42.5,252.0,299.0,251.1,43.9
1200013,327.0,72.0,421.2,356.6,379.7
1200014,362.2,219.4,413.1,15.3,412.9
1200015,182.0,498.6,153.2,490.2,493.1
1200016,476.7,338.6,449.2,430.9,418.8
1200017,301.8,343.7,430.5,470.5,178.5
1200018,497.3,313.0,400.7,312.7,50.8
1200019,276.4,16.9,25.9,315.5,377.5
1200020,45.1,128.8,277.2,227.2,16.1
1200021,78.9,140.5,474.1,324.9,413.4
1200022,111.6,319.3,191.9,385.0,480.8
1200023,257.7,369.9,418.6,165.5,359.4
1200024,272.3,169.8,435.4,233.8,273.8
1200025,270.4,225.1,256.0,188.9,306.3
1200026,124.1,394.5,295.0,135.3,314.7
1200027,306.7,37.2,368.4,11.6,470.8
1200028,354.4,437.4,345.0,105.2,408.6
1200029,42.6,335.6,53.1,36.2,268.6
1200030,126.0,458.3,37.0,322.9,10.3
1200031,87.9,136.5,93.2,276.7,433.2
1200032,486.9,216.8,378.6,402.5,22.0
1200033,358.0,155.7,320.8,165.2,274.0
1200034,50.6,408.3,250.8,235.1,430.7
1200035,278.7,335.4,98.4,455.4,468.3
1200036,79.8,481.4,297.0,205.8,342.1
1200037,62.5,18.9,405.3,375.0,199.4
1200038,312.6,106.2,293.9,428.8,186.0
1200039,456.8,239.8,73.4,304.4,485.3
1200040,453.6,101.4,195.4,379.4,438.8
1200041,62.0,293.4,390.3,414.7,162.9
1200042,176.3,24.6,289.0,433.9,46.1
1200043,138.5,224.3,364.7,475.3,417.3
1200044,139.7,406.0,321.5,142.5,302.7
1200045,98.4,292.5,103.2,26.7,208.9
1200046,38.7,408.2,309.9,350.4,488.7
1200047,410.2,285.8,310.7,126.2,364.0
1200048,233.8,51.0,338.1,254.5,214.6
1200049,378.2,84.6,50.5,297.4,261.2
1200050,395.4,50.5,170.5,264.2,425.0
1200051,41.5,193.2,382.8,342.3,251.5
1200052,236.1,109.0,117.0,325.8,341.8
1200053,153.1,27.9,205.5,438.1,387.2
1200054,427.6,138.1,219.9,227.8,234.5
1200055,166.5,468.1,461.8,52.4,62.8
1200056,348.3,339.4,183.3,357.7,307.8
1200057,163.9,472.1,143.2,135.7,410.3
1200058,403.5,244.4,111.6,392.9,478.4
1200059,21.1,370.7,111.4,111.3,259.1
1200060,110.8,463.7,161.8,291.8,431.0
1200061,321.4,349.9,391.4,47.9,160.9
1200062,356.1,329.1,61.1,233.2,318.0
1200063,161.1,325.8,498.3,182.1,349.2
1200064,78.9,24.4,454.7,154.5,186.0
1200065,304.9,175.4,431.1,162.5,167.0
1200066,228.9,409.8,474.5,105.5,92.6
1200067,127.5,323.2,309.3,38.0,245.5
1200068,138.1,325.2,422.6,288.6,12.4
1200069,415.0,232.1,128.6,209.3,215.4
