StationID,BoardingPassengerCount,IntervalTimeSeconds,LineStatus,CongestionScore,TrainDelayMinutes
1360001,96.1,8.9,Type_B,7.1,17.8
1360002,96.1,25.6,Type_A,7.2,8.0
1360003,87.5,2.6,Type_A,6.1,3.5
1360004,89.7,2.8,Type_B,3.4,4.1
1360005,82.2,17.1,Type_B,9.0,6.1
1360006,68.5,6.4,Type_B,7.8,4.9
1360007,91.2,16.5,Type_A,9.7,3.8
1360008,43.2,16.2,Type_C,8.0,45.2
1360009,84.8,33.5,Type_A,5.5,20.2
1360010,109.7,4.7,Type_A,8.6,1.0
1360011,97.4,15.5,Type_C,7.2,1.0
1360012,76.7,67.0,Type_C,6.7,19.0
1360013,122.0,52.1,Type_A,6.4,21.0
1360014,82.9,13.6,Type_A,7.2,8.7
1360015,76.6,6.0,Type_A,7.2,4.7
1360016,101.8,14.0,Type_B,10.0,16.1
1360017,91.1,1.3,Type_C,5.2,5.2
1360018,102.9,2.6,Type_B,8.6,11.2
1360019,76.9,11.7,Type_A,6.1,53.9
1360020,111.7,9.5,Type_A,3.5,14.1
1360021,60.5,3.6,Type_B,10.0,32.5
1360022,102.3,8.9,Type_B,7.8,12.5
1360023,102.8,21.1,Type_C,7.2,9.8
1360024,97.7,12.4,Type_B,9.2,1.5
1360025,115.6,5.8,Type_A,4.2,15.0
1360026,94.9,21.8,Type_A,8.3,1.2
1360027,125.5,15.7,Type_C,6.3,7.7
1360028,140.6,22.7,Type_C,4.8,3.3
1360029,96.5,2.1,Type_C,8.5,4.8
1360030,129.9,33.3,Type_C,8.7,12.3
1360031,90.9,5.2,Type_C,5.9,10.0
1360032,150.9,9.5,Type_C,4.6,4.3
1360033,106.0,3.4,Type_B,8.7,22.9
1360034,101.7,6.0,Type_C,6.8,19.8
1360035,109.3,5.4,Type_C,8.5,8.3
1360036,97.6,17.7,Type_C,5.2,21.3
1360037,107.6,4.7,Type_B,7.7,17.6
1360038,52.0,15.5,Type_C,7.3,3.6
1360039,84.4,2.0,Type_C,6.3,39.3
1360040,132.8,10.2,Type_B,9.2,9.6
1360041,61.9,3.2,Type_B,7.9,2.2
1360042,79.4,4.9,Type_B,9.1,48.0
1360043,111.1,4.0,Type_B,9.2,5.2
1360044,78.1,2.8,Type_A,8.0,2.6
1360045,135.1,28.6,Type_B,7.0,18.2
1360046,75.1,83.1,Type_A,7.4,26.6
1360047,89.4,7.4,Type_A,5.9,9.1
1360048,100.1,28.1,Type_C,8.1,13.8
1360049,51.3,11.4,Type_A,6.6,2.2
1360050,100.1,17.3,Type_A,8.4,4.6
1360051,77.6,8.1,Type_A,6.0,6.8
1360052,99.7,71.4,Type_C,4.1,15.4
1360053,108.9,12.0,Type_C,8.9,17.7
1360054,122.8,7.4,Type_C,7.7,38.8
1360055,132.4,8.8,Type_C,7.3,3.7
1360056,79.8,13.4,Type_A,10.0,7.6
1360057,166.8,44.5,Type_C,6.9,2.9
1360058,127.4,1.1,Type_C,8.8,19.6
1360059,55.8,22.0,Type_A,8.0,3.5
1360060,65.1,13.3,Type_A,7.8,1.8
1360061,65.7,42.7,Type_A,10.0,28.8
1360062,90.7,10.5,Type_C,7.3,7.7
1360063,107.0,12.4,Type_A,6.8,1.6
1360064,125.9,6.2,Type_C,6.5,17.0
1360065,100.3,13.2,Type_C,9.3,23.2
1360066,61.7,5.9,Type_A,8.0,36.8
1360067,159.0,14.2,Type_C,8.1,14.9
1360068,59.3,5.4,Type_A,6.5,82.5
1360069,105.5,23.6,Type_B,4.3,35.7
1360070,97.8,8.6,Type_C,6.6,2.2
