UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1170001,231.2,419.7,339.4,Family,0
1170002,156.7,149.8,448.9,Premium,1
1170003,123.2,408.5,324.7,Premium,0
1170004,443.8,39.1,486.5,Basic,1
1170005,101.4,131.9,439.0,Basic,0
1170006,466.5,105.6,119.6,Basic,1
1170007,32.2,102.4,127.6,Family,0
1170008,382.3,31.6,302.1,Premium,0
1170009,53.0,353.9,353.5,Family,1
1170010,79.0,233.2,150.1,Basic,0
1170011,341.2,63.5,107.2,Premium,0
1170012,483.6,53.9,435.1,Basic,1
1170013,410.9,41.4,19.5,Basic,1
1170014,450.3,388.0,370.1,Premium,0
1170015,374.6,369.9,143.1,Premium,0
1170016,366.2,23.1,73.9,Premium,0
1170017,83.9,74.2,372.8,Family,0
1170018,368.4,301.1,482.6,Basic,0
1170019,148.1,372.1,484.4,Premium,1
1170020,296.0,225.9,194.2,Family,1
1170021,23.4,361.2,394.0,Family,0
1170022,24.9,323.0,446.0,Family,1
1170023,20.7,107.4,286.1,Family,0
1170024,274.1,426.7,28.0,Basic,1
1170025,48.0,241.4,499.9,Premium,0
1170026,444.5,285.9,461.7,Premium,0
1170027,485.7,436.8,444.8,Basic,0
1170028,416.4,212.2,255.5,Premium,0
1170029,395.6,449.0,495.7,Family,0
1170030,367.9,432.2,404.9,Basic,1
1170031,491.9,281.1,353.0,Basic,1
1170032,259.4,66.7,493.1,Basic,1
1170033,455.1,77.9,266.0,Family,0
1170034,303.3,452.9,125.4,Basic,1
1170035,277.9,82.6,193.0,Premium,1
1170036,378.8,404.5,13.7,Basic,1
1170037,59.8,392.1,351.8,Premium,0
1170038,26.0,39.1,386.4,Basic,0
1170039,378.8,21.2,138.8,Premium,0
1170040,188.5,160.9,399.2,Premium,0
1170041,38.9,453.0,485.4,Premium,1
1170042,167.3,84.2,190.2,Basic,0
1170043,350.7,392.0,93.2,Family,0
1170044,430.1,225.7,433.1,Basic,1
1170045,44.7,133.9,471.9,Premium,1
1170046,222.7,55.5,339.6,Premium,1
1170047,350.0,130.8,158.6,Basic,1
1170048,409.4,486.0,432.9,Family,1
1170049,427.1,225.4,168.7,Basic,1
1170050,97.3,443.8,428.2,Basic,1
1170051,351.3,359.9,332.2,Basic,0
1170052,255.1,158.7,14.0,Family,1
1170053,367.0,319.8,142.7,Basic,1
1170054,360.9,428.0,478.6,Premium,1
1170055,101.9,72.3,42.0,Premium,1
1170056,309.3,346.0,146.7,Premium,0
1170057,386.9,288.8,57.9,Basic,1
1170058,114.6,467.3,101.7,Family,1
1170059,491.8,389.0,252.5,Family,1
1170060,360.4,327.1,293.8,Basic,1
1170061,282.6,29.7,149.8,Family,0
1170062,221.1,218.8,109.6,Basic,1
1170063,44.2,163.7,39.7,Premium,0
1170064,349.0,198.1,353.3,Family,0
1170065,380.0,266.3,450.0,Premium,0
1170066,400.6,370.1,417.4,Premium,0
1170067,379.8,401.0,273.2,Basic,0
1170068,249.8,425.2,106.7,Family,0
1170069,392.6,362.5,455.5,Family,1
1170070,213.7,381.7,219.2,Family,0
1170071,306.9,494.4,33.8,Basic,0
1170072,334.4,361.6,75.0,Premium,0
1170073,367.1,15.2,480.3,Family,1
1170074,81.3,301.7,354.0,Family,0
1170075,420.6,258.8,143.0,Premium,1
1170076,249.3,138.1,178.4,Family,0
1170077,488.9,415.7,64.6,Family,1
1170078,212.3,447.5,254.1,Premium,0
1170079,409.2,29.3,391.8,Basic,1
1170080,60.2,31.0,390.0,Premium,0
1170081,461.0,464.1,411.2,Basic,1
1170082,357.3,237.9,326.1,Family,1
1170083,31.2,26.3,31.1,Basic,1
1170084,233.3,417.1,435.9,Family,1
1170085,328.7,265.3,298.3,Basic,0
1170086,456.5,116.0,317.6,Basic,1
1170087,20.6,387.2,286.3,Basic,1
1170088,489.8,198.4,,Premium,0
1170089,314.1,395.7,94.4,Family,1
1170090,267.3,172.6,205.0,Premium,1
1170091,293.3,75.3,329.1,Family,0
1170092,369.2,142.3,64.5,Premium,0
1170093,243.3,357.0,493.3,Premium,1
1170094,283.3,468.6,349.2,Premium,0
1170095,432.0,47.2,409.4,Premium,0
1170096,489.8,418.2,465.8,Premium,1
1170097,253.5,181.1,260.1,Premium,0
1170098,314.2,257.4,244.3,Basic,1
1170099,309.7,417.4,239.8,Family,1
1170100,455.7,282.6,272.6,Premium,0
1170101,82.9,398.7,242.5,Family,0
1170102,373.5,269.1,287.9,Premium,1
1170103,129.6,404.4,153.2,Basic,1
1170104,155.1,33.6,303.5,Family,1
1170105,167.3,21.7,288.5,Basic,1
1170106,190.8,242.0,303.2,Premium,1
1170107,404.5,402.7,227.5,Family,1
1170108,451.0,406.7,163.2,Premium,0
1170109,217.1,143.9,468.2,Basic,0
1170110,246.3,220.1,332.9,Premium,0
1170111,91.6,331.8,106.8,Premium,0
1170112,328.7,36.0,86.9,Basic,1
1170113,239.1,487.0,245.5,Basic,1
1170114,113.4,196.3,462.7,Family,1
1170115,496.4,239.8,416.3,Premium,1
1170116,344.0,131.1,365.3,Basic,1
1170117,430.8,113.2,431.0,Basic,1
1170118,49.8,431.0,398.3,Premium,0
1170119,239.3,490.9,145.5,Family,0
1170120,233.8,234.0,259.8,Basic,1
1170121,415.5,391.9,415.6,Premium,1
1170122,395.0,116.6,123.0,Family,1
1170123,35.3,392.5,430.3,Family,0
1170124,327.6,443.9,123.6,Basic,1
1170125,90.6,141.8,71.3,Family,0
1170126,382.7,71.3,374.3,Basic,0
1170127,389.2,165.6,295.7,Family,1
1170128,66.5,426.8,479.9,Basic,1
1170129,288.2,440.7,134.6,Family,1
1170130,307.6,225.8,25.9,Basic,1
1170131,35.5,457.2,290.7,Basic,0
1170132,206.8,238.4,289.8,Basic,1
1170133,329.1,386.4,349.3,Family,0
1170134,429.0,12.2,241.4,Basic,1
1170135,449.8,491.9,170.7,Family,0
1170136,473.7,435.7,371.3,Family,1
1170137,337.8,277.6,42.2,Family,1
1170138,432.0,332.0,229.0,Premium,0
1170139,354.1,289.9,265.7,Family,1
1170140,257.9,70.8,141.9,Premium,0
1170141,336.7,181.6,65.9,Premium,0
1170142,14.1,24.5,476.2,Family,1
1170143,253.5,289.8,92.5,Family,1
1170144,409.4,437.5,310.6,Family,0
1170145,172.8,109.2,344.8,Family,1
1170146,56.8,350.6,143.2,Premium,1
1170147,325.0,168.6,244.8,Basic,1
