SessionID,SessionDuration,DeviceType,BounceRate,PagesViewed,Converted
640001,57.2,Mobile,74.2,3,No
640002,100.5,Desktop,51.5,5,No
640003,108.6,Mobile,49.1,5,No
640004,71.7,Mobile,50.1,5,No
640005,73.3,Mobile,58.2,5,No
640006,44.8,Mobile,66.5,4,No
640007,45.1,Mobile,74.3,3,No
640008,41.9,Desktop,60.4,4,No
640009,90.8,Mobile,66.9,3,No
640010,60.5,Mobile,49.8,5,No
640011,152.2,Desktop,52.9,5,No
640012,95.3,Mobile,43.1,6,No
640013,104.7,Mobile,50.3,5,No
640014,22.0,Mobile,60.7,4,No
640015,5.0,Desktop,62.4,3,No
640016,28.1,Desktop,66.4,4,No
640017,5.0,Mobile,80.4,1,Yes
640018,120.8,Mobile,37.1,6,No
640019,30.5,Mobile,74.2,2,No
640020,61.0,Tablet,65.6,4,No
640021,116.0,Mobile,45.3,5,No
640022,5.0,Desktop,56.7,4,No
640023,5.0,Mobile,56.7,4,No
640024,56.7,Desktop,55.2,4,No
640025,29.3,Mobile,68.4,3,No
640026,62.3,Tablet,72.8,2,No
640027,241.2,Desktop,17.8,9,No
640028,35.4,Mobile,77.5,2,No
640029,110.4,Desktop,64.7,3,No
640030,30.9,Mobile,62.3,3,No
640031,27.7,Mobile,74.3,2,No
640032,23.2,Mobile,85.1,1,No
640033,263.4,Mobile,35.8,7,No
640034,133.6,Mobile,35.0,7,No
640035,56.6,Desktop,47.2,5,No
640036,5.0,Tablet,91.5,1,No
640037,52.2,Desktop,68.9,3,Yes
640038,43.8,Desktop,82.3,2,No
640039,66.1,Desktop,64.2,3,No
640040,60.1,Mobile,,4,Yes
640041,101.0,Mobile,58.2,5,No
640042,102.7,Desktop,48.0,6,No
640043,117.2,Mobile,69.4,3,No
640044,34.5,Mobile,61.4,4,No
640045,16.8,Desktop,74.9,2,No
640046,33.7,Mobile,82.2,2,No
640047,544.8,Mobile,5.0,14,No
640048,377.5,Mobile,5.0,13,Yes
640049,149.2,Desktop,44.4,6,No
640050,175.1,Mobile,52.0,6,Yes
640051,10.9,Mobile,55.1,4,No
640052,279.7,Mobile,18.7,10,No
640053,92.5,Mobile,40.0,6,No
640054,12.5,Tablet,84.9,1,No
640055,200.9,Mobile,33.5,7,Yes
640056,90.6,Tablet,60.0,4,No
640057,142.5,Desktop,64.0,4,No
640058,48.4,Mobile,54.6,5,No
640059,404.2,Mobile,5.0,14,Yes
640060,34.5,Tablet,63.8,3,No
640061,33.2,Desktop,72.4,2,No
640062,12.2,Desktop,88.6,1,No
640063,113.7,Mobile,56.4,5,No
640064,87.5,Mobile,43.5,6,No
640065,75.1,Mobile,65.0,4,No
640066,223.1,Desktop,21.8,9,No
640067,69.6,Mobile,47.1,5,No
640068,222.8,Mobile,30.7,7,No
640069,8.0,Tablet,82.3,1,No
640070,222.9,Desktop,46.8,6,No
640071,47.8,Mobile,75.2,2,No
640072,67.9,Tablet,76.7,2,No
640073,36.6,Mobile,79.5,2,No
640074,126.2,Mobile,45.5,6,Yes
640075,9.8,Mobile,82.7,1,No
640076,13.7,Mobile,76.6,2,No
640077,40.4,Desktop,45.3,5,No
640078,5.6,Desktop,74.8,3,No
640079,388.7,Mobile,5.0,12,No
640080,5.0,Mobile,75.2,2,No
640081,111.0,Mobile,42.3,6,No
640082,134.2,Mobile,29.9,7,No
640083,341.1,Mobile,10.3,11,No
640084,148.6,Mobile,34.3,7,Yes
640085,47.3,Desktop,71.1,2,No
640086,12.9,Desktop,77.0,2,No
