WeldID,WeldingTempCelsius,CoolingRate,UltrasonicDefectScore,RobotSpeed_mms,DefectSeverityGrade
1850001,121.3,33.2,7.6,9.3,1
1850002,87.1,61.1,5.9,15.1,0
1850003,169.1,37.1,7.5,14.4,1
1850004,86.4,55.4,,2.5,0
1850005,91.8,57.8,7.5,16.5,1
1850006,98.5,27.4,8.2,16.8,0
1850007,143.2,36.6,7.7,10.1,1
1850008,129.3,45.6,7.1,15.8,0
1850009,140.3,30.2,9.0,24.1,1
1850010,150.2,54.6,8.2,19.0,1
1850011,107.3,37.2,5.6,10.1,1
1850012,87.4,47.5,7.8,13.8,1
1850013,130.1,32.9,7.5,6.5,0
1850014,137.6,23.3,6.9,3.3,1
1850015,155.3,45.0,4.5,21.3,1
1850016,104.5,72.5,6.8,6.9,1
1850017,79.7,55.7,8.5,5.5,0
1850018,86.7,48.3,7.7,10.2,0
1850019,80.6,38.3,5.6,8.2,0
1850020,82.6,18.7,9.4,12.8,0
1850021,113.8,43.5,6.3,5.1,0
1850022,81.0,36.4,7.7,6.0,0
1850023,105.1,67.3,6.1,12.3,0
1850024,83.1,54.6,4.3,15.3,0
1850025,132.6,81.1,7.7,10.4,1
1850026,150.5,19.4,7.9,11.3,1
1850027,89.1,49.1,2.8,7.8,1
1850028,129.1,66.7,3.8,18.5,1
1850029,91.0,48.3,7.1,6.3,0
1850030,122.2,44.5,5.8,24.0,1
1850031,93.3,57.3,6.1,12.6,0
1850032,152.4,50.3,7.2,18.2,1
1850033,171.6,61.4,5.6,9.2,1
1850034,133.9,34.5,7.3,12.9,1
1850035,134.6,25.2,6.9,1.4,0
1850036,121.3,42.2,7.6,14.8,0
1850037,86.1,14.1,6.9,8.0,0
1850038,114.7,57.1,5.7,8.5,1
1850039,102.4,40.4,9.1,7.7,0
1850040,111.0,32.8,8.8,11.4,0
1850041,164.7,71.8,6.2,18.5,1
1850042,132.1,60.4,8.2,22.7,1
1850043,127.3,62.8,6.6,1.0,1
1850044,144.1,62.1,6.6,7.7,1
1850045,94.4,64.2,6.6,5.8,0
1850046,73.9,45.4,6.2,17.5,0
1850047,139.4,35.3,7.5,11.4,1
1850048,123.1,47.8,9.4,5.8,1
1850049,82.7,58.0,5.6,19.1,0
1850050,82.7,34.5,7.4,10.7,0
1850051,178.1,75.3,5.1,10.9,1
1850052,145.5,36.0,6.5,16.6,1
1850053,71.6,65.5,7.0,11.6,0
1850054,71.4,54.8,10.0,18.5,0
1850055,189.4,66.9,9.0,16.8,1
1850056,163.2,63.1,5.2,10.3,1
