EmployeeID,WellnessSpend_K,GymVisitsMonthly,JobStressLevel,TotalUsageScore,OneYearStay
1500001,70.4,76.7,61.1,8.0,1
1500002,82.8,90.4,105.3,5.8,0
1500003,82.2,82.2,55.4,4.4,0
1500004,86.3,154.4,83.8,5.9,0
1500005,78.3,49.9,137.8,9.2,0
1500006,113.3,52.1,150.6,7.3,1
1500007,81.1,113.6,128.6,8.9,0
1500008,58.4,94.5,87.9,5.9,1
1500009,,137.3,122.6,10.0,0
1500010,73.1,93.1,66.3,7.9,0
1500011,47.6,117.0,91.9,9.9,0
1500012,63.1,116.4,79.5,6.0,1
1500013,67.6,113.4,102.1,6.6,1
1500014,109.6,94.0,71.6,5.3,1
1500015,128.9,103.5,63.9,8.8,0
1500016,47.5,127.8,92.1,8.4,0
1500017,114.1,95.6,71.4,5.0,1
1500018,45.7,92.5,76.7,8.8,0
1500019,72.3,98.8,54.4,7.8,1
1500020,36.0,89.6,149.2,9.8,0
1500021,85.4,97.0,135.3,8.3,0
1500022,49.8,116.9,98.5,7.0,1
1500023,73.5,90.5,135.7,6.2,1
1500024,32.2,103.8,115.0,8.4,1
1500025,60.3,68.4,99.1,8.0,1
1500026,40.7,169.1,86.0,7.7,1
1500027,102.4,113.4,101.9,7.3,1
1500028,75.0,82.8,67.2,6.6,1
1500029,21.5,132.4,77.3,4.9,0
1500030,90.9,123.3,149.6,6.4,0
1500031,92.7,84.6,129.4,6.4,1
1500032,92.4,147.4,135.8,8.5,1
1500033,71.3,103.5,139.4,8.6,0
1500034,72.5,85.2,141.4,7.0,0
1500035,69.5,105.7,126.1,6.5,0
1500036,53.3,85.7,128.2,9.9,0
1500037,79.7,82.8,100.9,7.2,1
1500038,73.6,67.7,178.7,8.2,1
1500039,100.8,50.1,79.5,7.1,0
1500040,98.6,87.0,136.3,8.0,1
1500041,90.3,100.1,109.9,9.8,0
1500042,101.7,107.2,118.7,5.5,1
1500043,68.9,127.8,106.3,8.9,0
1500044,88.4,137.9,119.4,6.0,1
1500045,69.0,130.3,121.0,5.8,1
1500046,66.6,83.2,113.3,6.5,1
1500047,45.6,75.1,94.9,7.5,0
1500048,71.2,61.0,80.8,6.4,1
1500049,70.5,101.1,64.7,10.0,0
1500050,68.1,93.8,106.8,6.5,0
1500051,83.2,83.2,104.1,8.5,0
1500052,61.7,59.0,71.5,9.7,1
1500053,61.7,46.5,121.4,7.1,1
1500054,69.9,127.2,95.9,5.0,1
1500055,99.7,132.1,79.5,5.6,0
1500056,75.0,80.8,111.4,6.8,1
1500057,104.2,104.6,127.3,7.2,0
1500058,70.9,103.7,85.5,9.2,0
1500059,63.9,110.7,103.1,5.9,1
1500060,63.4,52.5,105.0,6.7,0
1500061,80.0,66.0,119.3,8.4,0
1500062,90.8,78.9,74.2,6.6,0
1500063,64.6,80.6,131.5,6.2,0
1500064,33.4,71.7,107.5,7.5,1
1500065,52.7,78.5,69.6,6.6,1
1500066,82.0,129.9,94.0,6.2,0
1500067,60.0,57.6,116.5,7.1,0
1500068,85.0,123.1,133.7,6.5,1
1500069,37.0,53.1,86.1,7.9,0
1500070,60.7,108.4,105.2,7.3,1
1500071,92.1,125.6,98.1,8.4,1
1500072,33.2,85.0,102.4,6.5,0
1500073,63.5,98.1,138.2,8.2,0
1500074,56.2,92.6,71.4,7.5,1
1500075,77.7,115.3,61.0,8.9,1
1500076,71.1,85.5,120.9,7.1,1
1500077,54.9,88.8,124.9,7.1,0
1500078,108.3,69.3,55.3,6.9,0
1500079,89.6,75.7,71.5,7.3,0
1500080,47.4,105.0,93.4,6.5,0
1500081,72.7,84.7,99.7,5.9,1
1500082,98.0,112.4,133.4,8.4,0
1500083,58.6,89.4,141.4,6.5,1
1500084,65.4,118.0,89.1,7.5,0
1500085,42.6,105.4,82.1,7.8,0
1500086,71.2,71.5,106.7,6.4,0
1500087,70.2,115.0,69.4,4.8,1
1500088,30.9,54.7,96.7,4.9,1
1500089,68.1,103.8,108.3,4.7,0
1500090,63.5,80.9,91.0,4.2,1
1500091,81.8,114.3,85.4,4.5,0
1500092,54.3,95.2,103.3,7.8,1
1500093,99.3,129.8,104.8,6.3,1
1500094,60.1,151.8,94.5,8.3,1
1500095,89.4,126.6,61.3,6.7,1
1500096,50.0,72.0,104.1,6.8,0
1500097,71.1,87.5,123.2,7.5,0
1500098,42.2,86.2,72.9,5.6,1
1500099,102.6,102.3,107.3,7.1,0
1500100,87.6,125.0,119.5,8.2,0
1500101,63.4,81.5,74.5,6.8,1
1500102,58.7,96.5,102.4,8.6,1
1500103,105.6,139.9,112.5,5.5,1
1500104,57.8,82.5,104.0,8.5,0
1500105,83.8,108.0,85.1,6.6,0
1500106,85.0,116.5,110.0,4.7,0
1500107,61.9,48.5,99.0,8.9,0
1500108,72.6,94.8,152.3,7.9,1
1500109,100.4,100.0,117.2,7.2,0
1500110,63.8,103.1,47.6,7.8,0
1500111,52.2,117.6,118.1,6.9,1
1500112,110.5,82.3,104.2,7.4,0
1500113,78.9,109.1,112.6,8.6,0
