RegionID,SoilMoisture_Percent,DryDaysCount,WindSpeedKmh,FMC_Percent,WildfireOccurred
1550001,54.4,86.4,16.3,47.3,0
1550002,,104.2,5.2,62.2,0
1550003,51.2,67.8,15.2,35.8,0
1550004,28.1,167.6,11.5,32.3,1
1550005,43.2,74.8,6.8,59.1,0
1550006,20.9,150.0,16.4,44.7,0
1550007,56.3,106.6,8.7,42.0,1
1550008,7.9,116.9,17.5,41.9,1
1550009,57.1,91.0,9.5,57.6,0
1550010,53.8,97.9,7.2,58.5,0
1550011,66.9,110.8,16.8,56.8,1
1550012,43.9,107.0,9.8,39.8,0
1550013,67.5,125.0,22.0,39.0,0
1550014,34.8,93.7,22.6,84.6,1
1550015,71.3,144.9,11.9,44.0,1
1550016,33.3,56.7,6.8,2.6,0
1550017,43.9,74.3,9.6,46.9,0
1550018,41.1,94.7,14.0,38.2,1
1550019,29.1,103.0,12.0,29.4,0
1550020,51.3,73.8,3.9,55.6,1
1550021,31.2,72.8,2.8,31.9,0
1550022,20.3,149.5,17.7,48.9,0
1550023,51.5,97.9,20.4,44.5,0
1550024,47.5,103.8,7.8,26.1,0
1550025,45.0,83.2,8.4,50.8,0
1550026,52.1,95.5,3.4,48.7,0
1550027,59.7,146.9,7.7,41.1,0
1550028,28.1,109.8,15.9,18.5,0
1550029,30.4,128.2,9.5,55.3,1
1550030,44.5,81.0,12.0,38.3,1
1550031,34.3,111.2,10.7,56.7,0
1550032,72.8,100.2,10.8,46.9,0
1550033,35.3,90.6,6.4,74.8,0
1550034,52.6,114.3,6.3,59.9,1
1550035,30.7,141.6,12.0,39.3,0
1550036,48.2,78.8,14.4,37.5,1
1550037,42.7,79.8,26.3,48.7,0
1550038,46.1,53.9,19.8,47.7,0
1550039,,87.7,23.2,64.8,1
1550040,20.9,74.7,10.4,45.6,0
1550041,33.5,76.6,15.9,33.7,0
1550042,37.4,82.4,13.5,51.3,1
1550043,46.0,120.3,3.4,10.9,1
1550044,39.6,93.0,7.1,34.4,1
1550045,46.1,104.4,16.6,69.2,1
1550046,37.6,100.0,22.9,70.2,0
1550047,67.6,134.1,12.5,45.3,1
1550048,61.8,108.8,12.2,37.2,0
1550049,55.6,76.9,12.9,50.0,1
1550050,22.2,64.3,11.0,54.5,0
1550051,31.0,118.7,22.0,20.6,1
1550052,16.3,70.2,13.5,56.8,1
1550053,40.2,65.5,10.5,33.6,0
1550054,66.4,141.6,13.8,47.1,0
1550055,25.8,103.4,3.8,67.1,0
1550056,36.0,118.9,6.1,48.5,1
1550057,54.3,116.4,6.6,38.1,1
1550058,24.1,100.6,10.5,61.7,0
1550059,44.0,72.8,11.9,48.6,1
1550060,49.2,96.0,19.4,66.1,1
1550061,56.0,115.6,10.4,37.2,1
1550062,45.9,95.2,12.0,16.4,1
1550063,52.4,99.9,20.4,49.8,0
1550064,50.9,114.7,11.2,54.2,0
1550065,12.5,100.8,9.2,61.9,1
1550066,30.0,54.7,15.8,53.8,1
1550067,81.2,137.3,8.9,39.4,0
1550068,32.3,104.3,14.5,33.7,1
1550069,63.0,116.5,14.0,32.4,0
1550070,36.0,102.9,15.9,45.1,1
1550071,44.2,86.5,19.9,72.9,1
1550072,29.3,121.4,8.9,51.4,0
1550073,28.7,122.8,10.0,40.7,0
1550074,42.7,184.4,12.1,50.2,1
1550075,56.5,121.2,1.0,29.0,0
1550076,34.8,70.7,6.2,62.7,1
1550077,38.2,132.8,7.3,72.3,1
1550078,54.3,110.4,18.2,28.1,0
1550079,43.3,141.3,13.7,59.7,1
1550080,45.7,90.4,8.6,69.2,0
1550081,30.4,99.2,8.7,49.4,0
1550082,80.2,140.3,11.0,34.7,0
1550083,57.4,103.6,10.3,46.6,0
1550084,26.9,119.5,12.4,39.2,1
