country,points,price,province,variety
France,100,311.0,Province 0,Chardonnay
US,83,9.0,Province 1,Syrah
France,97,215.0,Province 2,Merlot
Italy,93,109.0,Province 3,Merlot
Italy,83,19.0,Province 4,Syrah
Italy,80,9.0,Province 5,Chardonnay
US,100,299.0,Province 6,Chardonnay
Spain,83,28.0,Province 7,Merlot
US,95,194.0,Province 8,Pinot Noir
US,90,70.0,Province 9,Chardonnay
US,83,31.0,Province 10,Chardonnay
US,87,49.0,Province 11,Chardonnay
US,83,16.0,Province 12,Pinot Noir
US,83,15.0,Province 13,Cabernet Sauvignon
US,86,32.0,Province 14,Cabernet Sauvignon
Italy,93,133.0,Province 15,Merlot
France,84,25.0,Province 16,Pinot Noir
US,81,20.0,Province 17,Cabernet Sauvignon
Spain,94,159.0,Province 18,Syrah
France,87,41.0,Province 19,Cabernet Sauvignon
France,84,21.0,Province 20,Merlot
Italy,99,276.0,Province 21,Pinot Noir
France,80,12.0,Province 22,Pinot Noir
France,90,97.0,Province 23,Pinot Noir
Spain,84,29.0,Province 24,Pinot Noir
Spain,89,56.0,Province 25,Cabernet Sauvignon
Argentina,98,244.0,Province 26,Pinot Noir
Argentina,88,33.0,Province 27,Cabernet Sauvignon
US,88,57.0,Province 28,Chardonnay
Argentina,90,71.0,Province 29,Cabernet Sauvignon
US,98,243.0,Province 30,Pinot Noir
France,96,190.0,Province 31,Syrah
US,99,270.0,Province 32,Merlot
Chile,100,293.0,Province 33,Syrah
France,88,50.0,Province 34,Merlot
France,99,285.0,Province 35,Cabernet Sauvignon
US,98,239.0,Province 36,Syrah
Spain,98,265.0,Province 37,Cabernet Sauvignon
US,81,23.0,Province 38,Merlot
US,92,97.0,Province 39,Merlot
US,82,14.0,Province 40,Merlot
France,91,77.0,Province 41,Merlot
US,93,130.0,Province 42,Chardonnay
France,82,10.0,Province 43,Chardonnay
US,89,67.0,Province 44,Chardonnay
US,97,215.0,Province 45,Syrah
France,88,51.0,Province 46,Chardonnay
France,89,57.0,Province 47,Pinot Noir
US,84,11.0,Province 48,Cabernet Sauvignon
US,82,,Province 49,Cabernet Sauvignon
France,90,71.0,Province 50,Pinot Noir
US,100,301.0,Province 51,Merlot
US,86,36.0,Province 52,Pinot Noir
US,92,104.0,Province 53,Syrah
Chile,93,141.0,Province 54,Merlot
US,91,98.0,Province 55,Pinot Noir
Spain,98,258.0,Province 56,Syrah
Italy,93,138.0,Province 57,Syrah
US,97,222.0,Province 58,Chardonnay
France,91,93.0,Province 59,Pinot Noir
France,95,157.0,Province 60,Merlot
Argentina,88,58.0,Province 61,Chardonnay
US,97,219.0,Province 62,Syrah
US,88,39.0,Province 63,Pinot Noir
US,90,60.0,Province 64,Chardonnay
Argentina,80,24.0,Province 65,Chardonnay
Argentina,83,8.0,Province 66,Chardonnay
