video_id,title,category,views,likes,comment_count
v0001,Trending Video 1,Gaming,71335,3236,315.0
v0002,Trending Video 2,Entertainment,111951,3793,487.0
v0003,Trending Video 3,Entertainment,133336,5882,331.0
v0004,Trending Video 4,Music,32524,2986,367.0
v0005,Trending Video 5,Gaming,194964,7561,1123.0
v0006,Trending Video 6,Tech/Science,28333,0,0.0
v0007,Trending Video 7,Comedy,82091,3221,345.0
v0008,Trending Video 8,Entertainment,254695,16395,1282.0
v0009,Trending Video 9,Comedy,22664,0,0.0
v0010,Trending Video 10,Gaming,31646,5001,317.0
v0011,Trending Video 11,Entertainment,49832,4371,638.0
v0012,Trending Video 12,Entertainment,30559,0,0.0
v0013,Trending Video 13,Entertainment,39153,2188,234.0
v0014,Trending Video 14,News,94802,5612,462.0
v0015,Trending Video 15,Tech/Science,28583,2054,190.0
v0016,Trending Video 16,Music,388835,29672,3380.0
v0017,Trending Video 17,Tech/Science,47489,3456,290.0
v0018,Trending Video 18,Music,575675,44902,3977.0
v0019,Trending Video 19,Entertainment,591971,23934,2229.0
v0020,Trending Video 20,Tech/Science,230625,14354,1294.0
v0021,Trending Video 21,Entertainment,10612,881,105.0
v0022,Trending Video 22,Music,19058,0,0.0
v0023,Trending Video 23,Gaming,66427,4348,270.0
v0024,Trending Video 24,Tech/Science,16020,908,49.0
v0025,Trending Video 25,Music,416679,26228,3702.0
v0026,Trending Video 26,Entertainment,11079,0,0.0
v0027,Trending Video 27,Entertainment,136388,9222,676.0
v0028,Trending Video 28,Music,57773,2063,118.0
v0029,Trending Video 29,Entertainment,375936,25888,2666.0
v0030,Trending Video 30,News,18826,1450,130.0
v0031,Trending Video 31,Entertainment,333870,15087,979.0
v0032,Trending Video 32,Entertainment,129171,9407,922.0
v0033,Trending Video 33,Entertainment,45548,3865,431.0
v0034,Trending Video 34,Music,218346,17017,854.0
v0035,Trending Video 35,Comedy,465821,26520,3938.0
v0036,Trending Video 36,News,33712,1492,95.0
v0037,Trending Video 37,Music,49912,5142,280.0
v0038,Trending Video 38,News,7832,1402,180.0
v0039,Trending Video 39,Music,36976,353,33.0
v0040,Trending Video 40,Gaming,31105,1282,156.0
v0041,Trending Video 41,Entertainment,114622,5382,
v0042,Trending Video 42,Music,112443,8580,657.0
v0043,Trending Video 43,News,58269,1362,132.0
v0044,Trending Video 44,Entertainment,41928,1969,123.0
v0045,Trending Video 45,Music,302857,8398,742.0
v0046,Trending Video 46,News,105914,1594,88.0
v0047,Trending Video 47,Tech/Science,681231,15088,1911.0
v0048,Trending Video 48,Entertainment,277031,12062,1666.0
v0049,Trending Video 49,Entertainment,30265,2009,184.0
v0050,Trending Video 50,Gaming,31255,1838,219.0
v0051,Trending Video 51,Music,169215,5876,627.0
